transcription	year	page	range_definition	function_pattern_match	function_pattern_item	function_pattern_result	profession_pattern_match	profession_pattern_item	profession_pattern_result	name_pattern_match	name_pattern_item	name_pattern_result	location_list_match	location_list_item	location_list_result	personal_titles_list_match	personal_titles_list_item	personal_titles_list_result	name_list_match	name_list_item	name_list_result	name_best_match	name_best_match_type	name_best_match_strategy	board_title_pattern_match	board_title_pattern_item	board_title_pattern_result
The British Chamber of Commerce for Switzerland (inc.)	1938	9	board_member																								
Offices of the Chamber¬ for the Year 1938-39.	1938	9	board_member	True	(Offices of the Chamber|\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Offices of the Chamber																					
Hon. President:	1938	9	board_member	True	(Offices of the Chamber|\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. President																					
Sir George Warner, K. C.V.O., C.M.G., His Britannic Majestys Minister to the Swiss Confederation.	1938	9	board_member				True	(His Britannic Majestys Minister to the Swiss Confederation|Lloyds & National Provincial Foreign Bank Ltd.|C.B., C.V. O., II. B.M., Minister|H. B. M. Commercial Secretary)	His Britannic Majestys Minister to the Swiss Confederation	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	K. C															
President:	1938	9	board_member	True	(Offices of the Chamber|\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	President																					
W. F. Dickson, Esq., Zurich.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	W. F. D	True	Zurich.	Zurich.	True	Esq.	Esq.	True	W. F. Dickson	W. F. Dickson	W. F. Dickson	list	longest_match			
Vice-Presidents :	1938	9	board_member	True	(Offices of the Chamber|\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Vice-President																					
G. Hodson, Esq., Basle.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	G. H	True	Basle.	Basle.	True	Esq.	Esq.	True	G. Hodson	G. Hodson	G. Hodson	list	longest_match			
H. A. Crowe, Esq., Basle.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	H. A. C	True	Basle.	Basle.	True	Esq.	Esq.	True	H. A. Crowe	H. A. Crowe	H. A. Crowe	list	longest_match			
Hon. Treasurer:	1938	9	board_member	True	(Offices of the Chamber|\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. Treasurer																					
N. H. Hampton, Esq., Geneva.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	N. H. H	True	Geneva.	Geneva.	True	Esq.	Esq.	True	N. H. Hampton	N. H. Hampton	N. H. Hampton	list	longest_match			
Council	1938	9	board_member																						True	(THE BRITIS CHAMBER OF COMMERCE FOR SWITZERLAND INC.| ?The British Chamber of Commerce for Switzerland (inc.)|Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Council
D. Barnett, Esq., Geneva.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	D. B	True	Geneva.	Geneva.	True	Esq.	Esq.	True	D. Barnett	D. Barnett	D. Barnett	list	longest_match			
F. E. Crowe, Esq., Geneva.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	F. E. C	True	Geneva.	Geneva.	True	Esq.	Esq.	True	F. E. Crowe	F. E. Crowe	F. E. Crowe	list	longest_match			
G. E. Farr, Esq., Berne.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	G. E. F	True	Berne.	Berne.	True	Esq.	Esq.	True	G. E. Farr	G. E. Farr	G. E. Farr	list	longest_match			
M. Galland, Esq., Lausanne.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	M. G	True	Lausanne.	Lausanne.	True	Esq.	Esq.	True	M. Galland	M. Galland	M. Galland	list	longest_match			
L. S. Haptie, Esq., Lucerne.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	L. S. H	True	Lucerne.	Lucerne.	True	Esq.	Esq.	True	L. S. Haptie	L. S. Haptie	L. S. Haptie	list	longest_match			
R. Hibbert, Esq., Basle.	1938	9	board_member							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})|([A-Z]\. ([A-Z]\. )?[A-Z][a-z]{1,10})	R. H	True	Basle.	Basle.	True	Esq.	Esq.									
