transcription	location_list_match	location_list_item	location_list_result	company_list_match	company_list_item	company_list_result	address_list_match	address_list_item	address_list_result	address_pattern_match	address_pattern_item	address_pattern_result	address_best_match	address_best_match_type	address_best_match_strategy	year	page	range_definition	company_pattern_match	company_pattern_item	company_pattern_result	company_best_match	company_best_match_type	company_best_match_strategy	title_pattern_match	title_pattern_item	title_pattern_result	goods_pattern_match	goods_pattern_item	goods_pattern_result
Canadian Pacific Railway Company, 62/65, Charing Cross, Trafalgar Square, London S. W. 1.	True	London S. W. 1.	London S. W. 1.	True	Canadian Pacific Railway Company	Canadian Pacific Railway Company	True	62/65, Charing Cross	62/65, Charing Cross	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	65, Charing Cross	62/65, Charing Cross	list	longest_match	1923	38	index												
Thos. Cook & Son, Lucerne, Zurich, Geneva, Lausanne, Montreux, Interlaken, Lugano.	True	Lugano.	Lugano.	True	Thos. Cook & Son	Thos. Cook & Son										1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Thos. Cook	Thos. Cook & Son	list	longest_match						
Crowe & Co., Ltd., 9, Langegasse, Basle.	True	Basle.	Basle.							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	9, Langegasse				1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Crowe & Co., Ltd.									
Danzas & Co., A.-G., Basle.	True	Basle.	Basle.													1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Danzas & Co., A.-G.									
Dominion Express Company of Canada, 62/65, Charing Cross Trafalgar Square, London S. W. 1.	True	London S. W. 1.	London S. W. 1.	True	Dominion Express Company of Canada	Dominion Express Company of Canada	True	62/65, Charing Cross	62/65, Charing Cross							1923	38	index												
Goth & Co., 45, Elisabethenstrasse, Basle.	True	Basle.	Basle.							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	45, Elisabethenstrasse				1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Goth & Co.									
Charles ImObersteg & Co., 30, Aeschengraben, Basle.	True	Basle.	Basle.							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	30, Aeschengraben				1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Charles ImObersteg & Co.									
Jacky, Maeder & Co., Basle.	True	Basle.	Basle.													1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Jacky, Maeder & Co.									
Lep Transport and Depository, Ltd., 4, Sunlight Wharf, 37, Upper Thames Street, London E. C.										True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	37, Upper Thames Street				1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Lep Transport and Depository, Ltd.									
Perrin & Co., Place de la Gare, Lausanne.	True	Lausanne.	Lausanne.				True	Place de la Gare	Place de la Gare							1923	38	index	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Perrin & Co.									
