transcription	year	page	range_definition	location_found	location	address_found	address	address_list_found	address_list_item	company_found	company	location_extended_found	location_extended	goods_found	goods
Express Companies	1923	37	index												
Dominion Express Co. of Canada, 62/65, Charing Cross, Trafalgar Square, London S. W. 1.	1923	37	index	True	London	True	62/65, Charing Cross	True	Trafalgar Square	True	Dominion Express Co.				
Extracts (chemical)	1923	37	index												
J. R. Geigy S. A., Basle.	1923	37	index							True	J. R. Geigy S. A.	True	Basle.		
Fabrics for Furnishing	1923	37	index												
Sandreuter & Co., Marktplatz, Basel.	1923	37	index							True	Sandreuter & Co.	True	Basel.		
Factory Fittings	1923	37	index												
Georges Michoud, Place Grand St. Jean, Lausanne.	1923	37	index									True	Lausanne.		
Fans (Machine)	1923	37	index												
Sulzer Frères S. A., Winterthur.	1923	37	index							True	Sulzer Frères S. A.	True	Winterthur.		
Fats (industrial and edible)	1923	37	index												
C. Mc. Intyre Brown, Case Postale rue du Rhône 1698, Geneva.	1923	37	index									True	Geneva.		
Fertilizers (Chemical)	1923	37	index												
The Cattle Food Supply Co. Ltd. (organic and inorganic), 12, Longue Rue Neuve, Antwerp.	1923	37	index			True	12, Longue Rue Neuve			True	The Cattle Food Supply Co. Ltd.			True	organic and inorganic
File Manufacturers	1923	37	index												
Usines Métallurgiques de Vallorbe, Vallorbe.	1923	37	index												
Finishers	1923	37	index												
Altherr & Guex, Flawil.	1923	37	index									True	Flawil.		
Färbereien Schetty, A.-G., Basle.	1923	37	index							True	Färbereien Schetty, A.-G	True	Basle.		
Fire Engine Manufacturers	1923	37	index												
Fabrique d'Automobiles "Berna" S. A., Olten.	1923	37	index									True	Olten.		
Fire Insurance Company	1923	37	index												
The Northern Assurance Co., Ltd., 1, Moorgate, London E. C. 2.	1923	37	index	True	London					True	The Northern Assurance Co., Ltd.				
Fish Hooks	1923	37	index												
Richard Hemming & Son, Forge Mills, Redditch.	1923	37	index									True	Redditch.		
Fitters and Erectors of Machinery	1923	37	index												
"Calorie" S. A., 5/7, Rue de l'Est, Geneva.	1923	37	index			True	5/7, Rue de l'Est			True	"Calorie" S. A.	True	Geneva.		
Foods (Patent Milk)	1923	37	index												
Nestlé & Anglo-Swiss Condensed Milk Co., Vevey.	1923	37	index							True	Nestlé & Anglo-Swiss Condensed Milk Co.	True	Vevey.		
Forwarding and Freight Agents	1923	37	index												
Basle Warehouse Company, Ltd., 1, Erlenstrasse, Basle.	1923	37	index	True	Basle					True	Basle Warehouse Company, Ltd.	True	Basle.		
Canadian National Railways, 2/4, Rue Edouard VII, Paris IXme.	1923	37	index			True	2/4, Rue Edouard VII								
