transcription	heading_found	heading	companypattern_match	company_pattern_item	company_pattern_result	company_list_match	company_list_item	company_list_result	year	page	range_definition	company_found	company	company2_found	company2	page_numbers_found	page_numbers	company3_found	company3
INDEX:	True	INDEX:	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Zürcher Brothers & Co.	True	Weith & Co	Weith & Co	1923	11	alphabetical								
Ackroyd Brothers 16, 21, 39, 42, 44			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Ackroyd Brothers	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Ackroyd Brothers	True	Ackroyd Brothers	True	16, 21, 39, 42, 44		
Adams (Thomas), Ltd. 10, 11, 16, 19, 20, 22, 24, 28, 38, 41, 42			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Adams (Thomas), Ltd.	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Adams (Thomas), Ltd.	True	Adams	True	10, 11, 16, 19, 20, 22, 24, 28, 38, 41, 42	True	Adams (Thomas), Ltd.
Adler, (Ernst) 8, 20, 28			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Adams (Thomas), Ltd.	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Adler, (Ernst)	True	Adler, (Ernst)	True	8, 20, 28	True	Adler, (Ernst)
Aerni-Leuch, Ed.			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Adams (Thomas), Ltd.	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Aerni-Leuch, Ed	True	Aerni				
Albrecht, Tobler & Co. S. A. 10			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Albrecht, Tobler & Co. S. A.	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Albrecht, Tobler & Co. S. A.	True	Albrecht, Tobler	True	10		
Allemann-Hug, C.			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Albrecht, Tobler & Co. S. A.	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Allemann-Hug, C	True	Allemann				
Altherr & Guex 5, 17, 26			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Albrecht, Tobler & Co. S. A.	True	Weith & Co	Weith & Co	1923	11	alphabetical			True	Altherr & Guex	True	5, 17, 26		
Alpina Cheese Co., Ltd.			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Alpina Cheese Co., Ltd.	True	Weith & Co	Weith & Co	1923	11	alphabetical	True	Alpina Cheese Co., Ltd.	True	Alpina Cheese				
Anglo-Swiss Educational Agency			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Alpina Cheese Co., Ltd.	True	Anglo-Swiss Educational Agency	Anglo-Swiss Educational Agency	1923	11	alphabetical			True	Anglo				
Appenzeller, Keller & Co.			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Appenzeller, Keller & Co.	True	Anglo-Swiss Educational Agency	Anglo-Swiss Educational Agency	1923	11	alphabetical	True	Appenzeller, Keller & Co.	True	Appenzeller, Keller				
24, 2 Arbon Embroidery Works, Ltd.			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	24, 2 Arbon Embroidery Works, Ltd.	True	Anglo-Swiss Educational Agency	Anglo-Swiss Educational Agency	1923	11	alphabetical	True	Arbon Embroidery Works, Ltd.	True	Arbon Embroidery	True	24, 2		
Audemars, Piguet & Co., Ltd. 7, 8, 43			True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Audemars, Piguet & Co., Ltd.	True	Anglo-Swiss Educational Agency	Anglo-Swiss Educational Agency	1923	11	alphabetical	True	Audemars, Piguet & Co., Ltd.	True	Audemars, Piguet	True	7, 8, 43		
