Gases (Technical) Manufacturers of;314,407,649,97
Mabie, Todd & Co., 89, Bahnhofstrasse, Zurich.;405,1473,799,99
Frames;371,1532,142,88
Fabrique de Cadres et Baguettes S.A. (for photographs and other;404,1570,1057,111
purposes), Lausanne.;442,1645,341,56
Fruit (Dealers in);371,1683,323,70
Gräni & Willi (High grade Swiss apples), Wauwil (Ct. Lucerne).;409,1698,1043,133
Fuel (Patent);367,1794,245,86
"Meta" S. A. (for Household, Sport, Toilet and Nursing room),;421,1823,1028,120
72, Aeschenvorstadt, Basle.;441,1903,447,69
Fuel Shippers;367,1943,267,85
Coal Supply Co., Ltd. (Patent and oil fuels), 13, Wallstrasse, Basle,;408,2019,1046,66
Georges Michoud (oil fuels), Place Grand St. Jean, Lausanne,;405,2055,1002,92
Gas Mantles (Incandescent);371,2117,495,71
Albert Scheidegger & Co. (Gasmantle Factory). Basle.;401,2184,896,80
Chronometers;368,418,259,73
Audemars, Piguet & Co., Ltd., Les Brassus.;401,454,730,78
Paul Ditisheim, S. A. (Marine chronometers), La Chaux-de-Fonds.;403,520,1044,79
Ulysse Nardin (marine and pocket) Le Locle and Geneva.;407,563,949,84
Cigarette Manufacturers;367,614,444,82
British American Tobacco Cô., Ltd., 18, Route des Acacias,;405,661,987,78
Geneva.;441,718,138,54
S.A. Ed. Laurens, "Le Khédive", 61, Route de Chêne, Geneva.;399,747,1041,94
Clothing and Costumes;368,805,428,88
Ernest Adler (mens' outfitting), 14, rue de la Croix d'Or, Geneva.;402,847,1041,104
Bigar Frères, 21, Rue du Pont, Lausanne.;403,919,685,60
Bonnard & Cie., S. A. (general drapers, for ladies and gentle¬;403,951,1032,90
men, retail), 14, Place St. François, Lausanne.;432,1010,748,56
Aimée Carey (Knitted costumes, jumpers and coats for ladies,;401,1032,1036,65
in wool and artificial silk, knitted ties in real and artificial;432,1087,1008,61
silk, wholesale and retail), 3, Jumelles, Lausanne.;429,1124,805,67
C. P. Coate, 1, Grand Pont Lausanne.;401,1163,619,59
Curzon Bros., Ltd. (the World's Measure Tailors, gentlemens;402,1178,1031,104
clothing) 45-53, Leonard Street, London E. C. 2.;435,1252,789,45
H. de Groot, "Maison Albion" (mens' outfitting, retail), 22, Rue;396,1274,1043,90
de Bourg, Lausanne.;433,1319,339,58
Joel Edwards & Sons, 9, Hanover Street, London W. 1.;399,1352,914,83
Reuben Gaunt & Sons, Ltd., Broom Mills, Farsley, Leeds.;398,1411,945,59
Gautschy-Kuhn, A. G. (woven sports coats, etc., in silk, artificial;396,1443,1041,68
silk, cotton and wool, wholesale) 20, Aeschengraben, Basle.;424,1495,972,48
Grieder & Co. (costumes for ladies, robes and mantles), Parade;392,1524,1034,79
platz, Zurich.;424,1571,223,65
The M. Hyam Wholesale Clothing Co., Ltd. (agent for Switzer;396,1586,1022,82
land: E. Hugentobler-Bowden, 20, Sihlstrasse, Zurich, mens;424,1653,1001,52
and youths' clothing), 69—73, Cannon Street, London E. C. 4.;427,1692,1006,59
Cloth Manufacturers;359,1741,378,74
Reuben Gaunt & Sons, Ltd. (indigo and black worsted serges,;389,1785,1044,82
fine and medium qualities, weight: 9 ozs. to 24 ozs.), Broom;424,1849,1009,64
Mills, Farsley, Leeds.;423,1879,355,72
Coal Shippers;358,1928,263,89
Coal Supply Co., Ltd., 13, Wallstrasse, Basle,;389,1990,750,76
J. Hirter & Co., 3, Gurtengasse, Berne.;389,2043,657,77
Cocoa Manufacturers;354,2105,390,85
Chocolats de Villars, S. A., Fribourg.;389,2152,610,94
Nestlé and Anglo-Swiss Condensed Milk Co., Vevey.;366,403,876,96
Peter, Cailler, Kohler, La Tour-de-Peilz.;365,479,662,59
Suchard, S. A., Neuchâtel.;371,526,434,69
Coffee making machines;340,581,444,68
W. M. Still & Sons, Ltd., 29—31, Charles Street, Hatton Garden;379,592,1033,104
London.;409,670,138,65
Coke Merchants;339,710,300,71
Coal Supply Co., Ltd., 13, Wallstrasse, Basle.;377,744,748,82
J. Hirter & Co., 3, Gurtengasse, Berne.;379,817,650,71
Colonial Produce Importers;343,865,501,71
O. Jæger, 30, Bahnhofstrasse, Zurich.;377,917,611,71
Volkart Brothers, Winterthur.;379,966,483,48
Winandy & Co., 16, Rue de Bourg, Lausanne.;381,1004,755,69
Colour Manufacturers;349,1065,390,83
Blundell, Spence & Co., Ltd., Hull.;377,1112,585,69
Durand & Huguenin A.-G., Basle.;377,1170,566,53
Jenson & Nicolson, Ltd., Goswell Works, Stratford, London E. 15.;384,1194,1045,96
Comb Manufacturers;345,1270,384,73
Deprez & Co., Nyon.;379,1330,363,73
Combustion Engines;347,1384,378,80
Fabrique d'Automobiles "Berna" S. A., Olten.;381,1410,754,95
Condensed Milk;345,1492,302,78
Nestlé & Anglo-Swiss Condensed Milk Co., Vevey.;377,1526,852,99
Confectioners;349,1607,258,83
Huguenin, Gattiker & Co., 39, Bahnhofstrasse, Zurich.;377,1639,898,108
Consultants (Transport);351,1729,428,66
Crowe & Co. Ltd., 9, Lange Gasse, Basle.;383,1777,707,83
Contact Clocks (Electric);351,1833,456,79
Fr. Sauter A.-G., Basle.;387,1901,392,77
Cooking Appliances;353,1959,369,72
"Meta" S. A., Aeschenvorstadt, Basle.;395,1996,617,96
Cooking Plants (Steam);353,2066,435,89
"Calorie" S. A., 5/7, rue de l'Est, Geneva.;399,2110,693,67
Sulzer Frères S. A., Winterthur.;387,2173,531,78
H. de Groot, "Maison Albion", 22, Rue de Bourg, Lausanne.;357,404,998,79
Gattiker & Steinmann (wholesale), Richterswil.;361,470,751,49
A. & S. Henry & Co., Ltd. (wholesale), Leeds Road, Bradford.;361,502,1020,65
Higgins, Eagle & Co., Ltd. (wholesale), 4—6, Cannon Street,;359,553,998,58
London E. C. 4.;401,594,260,54
J. G. Weith, 27 Bourg, Lausanne.;361,637,549,74
Dressing Bag Manufacturers;329,686,524,78
Mappin & Webb, Ltd., Galerie St. François, Lausanne.;359,725,894,94
Drug Manufacturers;329,799,367,62
Aktiengesellschaft vorm. B. Siegfried, Zofingen.;361,823,772,93
Chemische Fabrik vorm. Sandoz, Basle.;363,895,645,68
Hoffmann-La Roche & Cie., Basle.;363,937,576,48
Usines de l'Allondon, La Plaine, Geneva.;368,978,678,63
Drying Plants;327,1046,267,55
"Calorie", S. A., 5—7, Rue de l'Est, Geneva.;375,1072,738,70
Sulzer Frères, S. A., Winterthur.;361,1131,544,76
Dyestuff Manufacturers;327,1189,436,60
British Dyestuffs Corporation, Ltd., 17, Kingsway, London W. C. 2.;368,1204,1044,89
Chemische Fabrik vorm. Sandoz, Basle.;372,1281,635,54
Clayton Aniline Co., Ltd., Ashton New Road, Clayton, Manchester.;367,1301,1041,82
Durand & Huguenin, S. A., Basle.;368,1373,565,69
J. R. Geigy, S. A., Basle.;372,1416,413,63
Society of Chemical Industry in Basle, Basle.;368,1428,745,107
Dyers;329,1498,123,73
Färberei & Appreturgesellschaft A. Clavel & F. Lindenmeyer,;368,1549,1044,80
22, Gärtnerstrasse, Basle.;405,1596,411,60
Färbereien Schetty, A. G. (silks, pure spun and artificial, cotton;366,1638,1049,64
and ribbons), Basle.;405,1681,328,51
Hüssy & Co., A. G. (mercerised and non-mercerised cotton goods),;367,1701,1044,75
Safenwil (Aargau.);406,1760,301,54
Johannes Meyer & Co. (skein silks), 152, Limmatstrasse, Zürich.;375,1766,1040,97
Elastics (manufacturers);334,1847,441,77
G. Kappeler (in cotton and silk), Zofingen.;371,1880,700,91
Electrical apparatus;330,1953,379,73
Plantin & Cie. (export and import), 22, Ruelle St. François,;371,2008,1040,74
Lausanne.;411,2055,157,47
Swiss Gas Stove Co., Solothurn, and "Electra", Electric Heating;372,2057,1041,101
and Cooking apparatus Co. (all kinds of heating and cooking;409,2134,1002,64
apparatus), Wädenswil.;410,2167,379,73
