Gases (Technical) Manufacturers of;314,407,649,97
Mabie, Todd & Co., 89, Bahnhofstrasse, Zurich.;405,1473,799,99
Frames;371,1532,142,88
Fabrique de Cadres et Baguettes S.A. (for photographs and other;404,1570,1057,111
purposes), Lausanne.;442,1645,341,56
Fruit (Dealers in);371,1683,323,70
Gräni & Willi (High grade Swiss apples), Wauwil (Ct. Lucerne).;409,1698,1043,133
Fuel (Patent);367,1794,245,86
"Meta" S. A. (for Household, Sport, Toilet and Nursing room),;421,1823,1028,120
72, Aeschenvorstadt, Basle.;441,1903,447,69
Fuel Shippers;367,1943,267,85
Coal Supply Co., Ltd. (Patent and oil fuels), 13, Wallstrasse, Basle,;408,2019,1046,66
Georges Michoud (oil fuels), Place Grand St. Jean, Lausanne,;405,2055,1002,92
Gas Mantles (Incandescent);371,2117,495,71
Albert Scheidegger & Co. (Gasmantle Factory). Basle.;401,2184,896,80
Chronometers;368,418,259,73
Audemars, Piguet & Co., Ltd., Les Brassus.;401,454,730,78
Paul Ditisheim, S. A. (Marine chronometers), La Chaux-de-Fonds.;403,520,1044,79
Ulysse Nardin (marine and pocket) Le Locle and Geneva.;407,563,949,84
Cigarette Manufacturers;367,614,444,82
British American Tobacco Cô., Ltd., 18, Route des Acacias,;405,661,987,78
Geneva.;441,718,138,54
S.A. Ed. Laurens, "Le Khédive", 61, Route de Chêne, Geneva.;399,747,1041,94
Clothing and Costumes;368,805,428,88
Ernest Adler (mens' outfitting), 14, rue de la Croix d'Or, Geneva.;402,847,1041,104
Bigar Frères, 21, Rue du Pont, Lausanne.;403,919,685,60
Bonnard & Cie., S. A. (general drapers, for ladies and gentle¬;403,951,1032,90
men, retail), 14, Place St. François, Lausanne.;432,1010,748,56
Aimée Carey (Knitted costumes, jumpers and coats for ladies,;401,1032,1036,65
in wool and artificial silk, knitted ties in real and artificial;432,1087,1008,61
silk, wholesale and retail), 3, Jumelles, Lausanne.;429,1124,805,67
C. P. Coate, 1, Grand Pont Lausanne.;401,1163,619,59
Curzon Bros., Ltd. (the World's Measure Tailors, gentlemens;402,1178,1031,104
clothing) 45-53, Leonard Street, London E. C. 2.;435,1252,789,45
H. de Groot, "Maison Albion" (mens' outfitting, retail), 22, Rue;396,1274,1043,90
de Bourg, Lausanne.;433,1319,339,58
Joel Edwards & Sons, 9, Hanover Street, London W. 1.;399,1352,914,83
Reuben Gaunt & Sons, Ltd., Broom Mills, Farsley, Leeds.;398,1411,945,59
Gautschy-Kuhn, A. G. (woven sports coats, etc., in silk, artificial;396,1443,1041,68
silk, cotton and wool, wholesale) 20, Aeschengraben, Basle.;424,1495,972,48
Grieder & Co. (costumes for ladies, robes and mantles), Parade;392,1524,1034,79
platz, Zurich.;424,1571,223,65
The M. Hyam Wholesale Clothing Co., Ltd. (agent for Switzer;396,1586,1022,82
land: E. Hugentobler-Bowden, 20, Sihlstrasse, Zurich, mens;424,1653,1001,52
and youths' clothing), 69—73, Cannon Street, London E. C. 4.;427,1692,1006,59
Cloth Manufacturers;359,1741,378,74
Reuben Gaunt & Sons, Ltd. (indigo and black worsted serges,;389,1785,1044,82
fine and medium qualities, weight: 9 ozs. to 24 ozs.), Broom;424,1849,1009,64
Mills, Farsley, Leeds.;423,1879,355,72
Coal Shippers;358,1928,263,89
Coal Supply Co., Ltd., 13, Wallstrasse, Basle,;389,1990,750,76
J. Hirter & Co., 3, Gurtengasse, Berne.;389,2043,657,77
Cocoa Manufacturers;354,2105,390,85
Chocolats de Villars, S. A., Fribourg.;389,2152,610,94
Nestlé and Anglo-Swiss Condensed Milk Co., Vevey.;366,403,876,96
Peter, Cailler, Kohler, La Tour-de-Peilz.;365,479,662,59
Suchard, S. A., Neuchâtel.;371,526,434,69
Coffee making machines;340,581,444,68
W. M. Still & Sons, Ltd., 29—31, Charles Street, Hatton Garden;379,592,1033,104
London.;409,670,138,65
Coke Merchants;339,710,300,71
Coal Supply Co., Ltd., 13, Wallstrasse, Basle.;377,744,748,82
J. Hirter & Co., 3, Gurtengasse, Berne.;379,817,650,71
Colonial Produce Importers;343,865,501,71
O. Jæger, 30, Bahnhofstrasse, Zurich.;377,917,611,71
Volkart Brothers, Winterthur.;379,966,483,48
Winandy & Co., 16, Rue de Bourg, Lausanne.;381,1004,755,69
Colour Manufacturers;349,1065,390,83
Blundell, Spence & Co., Ltd., Hull.;377,1112,585,69
Durand & Huguenin A.-G., Basle.;377,1170,566,53
Jenson & Nicolson, Ltd., Goswell Works, Stratford, London E. 15.;384,1194,1045,96
Comb Manufacturers;345,1270,384,73
Deprez & Co., Nyon.;379,1330,363,73
Combustion Engines;347,1384,378,80
Fabrique d'Automobiles "Berna" S. A., Olten.;381,1410,754,95
Condensed Milk;345,1492,302,78
Nestlé & Anglo-Swiss Condensed Milk Co., Vevey.;377,1526,852,99
Confectioners;349,1607,258,83
Huguenin, Gattiker & Co., 39, Bahnhofstrasse, Zurich.;377,1639,898,108
Consultants (Transport);351,1729,428,66
Crowe & Co. Ltd., 9, Lange Gasse, Basle.;383,1777,707,83
Contact Clocks (Electric);351,1833,456,79
Fr. Sauter A.-G., Basle.;387,1901,392,77
Cooking Appliances;353,1959,369,72
"Meta" S. A., Aeschenvorstadt, Basle.;395,1996,617,96
Cooking Plants (Steam);353,2066,435,89
"Calorie" S. A., 5/7, rue de l'Est, Geneva.;399,2110,693,67
Sulzer Frères S. A., Winterthur.;387,2173,531,78
H. de Groot, "Maison Albion", 22, Rue de Bourg, Lausanne.;357,404,998,79
Gattiker & Steinmann (wholesale), Richterswil.;361,470,751,49
A. & S. Henry & Co., Ltd. (wholesale), Leeds Road, Bradford.;361,502,1020,65
Higgins, Eagle & Co., Ltd. (wholesale), 4—6, Cannon Street,;359,553,998,58
London E. C. 4.;401,594,260,54
J. G. Weith, 27 Bourg, Lausanne.;361,637,549,74
Dressing Bag Manufacturers;329,686,524,78
Mappin & Webb, Ltd., Galerie St. François, Lausanne.;359,725,894,94
Drug Manufacturers;329,799,367,62
Aktiengesellschaft vorm. B. Siegfried, Zofingen.;361,823,772,93
Chemische Fabrik vorm. Sandoz, Basle.;363,895,645,68
Hoffmann-La Roche & Cie., Basle.;363,937,576,48
Usines de l'Allondon, La Plaine, Geneva.;368,978,678,63
Drying Plants;327,1046,267,55
"Calorie", S. A., 5—7, Rue de l'Est, Geneva.;375,1072,738,70
Sulzer Frères, S. A., Winterthur.;361,1131,544,76
Dyestuff Manufacturers;327,1189,436,60
British Dyestuffs Corporation, Ltd., 17, Kingsway, London W. C. 2.;368,1204,1044,89
Chemische Fabrik vorm. Sandoz, Basle.;372,1281,635,54
Clayton Aniline Co., Ltd., Ashton New Road, Clayton, Manchester.;367,1301,1041,82
Durand & Huguenin, S. A., Basle.;368,1373,565,69
J. R. Geigy, S. A., Basle.;372,1416,413,63
Society of Chemical Industry in Basle, Basle.;368,1428,745,107
Dyers;329,1498,123,73
Färberei & Appreturgesellschaft A. Clavel & F. Lindenmeyer,;368,1549,1044,80
22, Gärtnerstrasse, Basle.;405,1596,411,60
Färbereien Schetty, A. G. (silks, pure spun and artificial, cotton;366,1638,1049,64
and ribbons), Basle.;405,1681,328,51
Hüssy & Co., A. G. (mercerised and non-mercerised cotton goods),;367,1701,1044,75
Safenwil (Aargau.);406,1760,301,54
Johannes Meyer & Co. (skein silks), 152, Limmatstrasse, Zürich.;375,1766,1040,97
Elastics (manufacturers);334,1847,441,77
G. Kappeler (in cotton and silk), Zofingen.;371,1880,700,91
Electrical apparatus;330,1953,379,73
Plantin & Cie. (export and import), 22, Ruelle St. François,;371,2008,1040,74
Lausanne.;411,2055,157,47
Swiss Gas Stove Co., Solothurn, and "Electra", Electric Heating;372,2057,1041,101
and Cooking apparatus Co. (all kinds of heating and cooking;409,2134,1002,64
apparatus), Wädenswil.;410,2167,379,73
Cartage Contractors;333,420,376,85
Perrin & Co., Place de la Gare, Lausanne.;368,467,705,80
Castings;337,522,157,82
Sulzer Frères, S. A., Winterthur.;375,552,538,105
Caterers;342,629,163,66
Huguenin, Gattiker & Co., A.-G., 39, Bahnhofstrasse, Zurich.;372,649,1013,91
Cattle Feeding Stuffs;341,717,397,71
The Cattle Food Supply Co., Ltd. (oilcake, hay, straw, etc.),;376,755,1028,82
12, Longue Rue Neuve, Antwerp.;410,823,552,48
Celluloid Articles (manufacturers);346,855,609,67
Basle Celluloid Manufactures, Ltd. (specialities: combs and high¬;374,907,1045,58
class hair ornaments), Therwil/ Basle.;409,949,590,70
Chambers of Commerce;345,999,437,63
London Chamber of Commerce, 1, 2 & 3, Oxford Court, Can¬;379,1014,1037,81
non Street, London E. C. 4.;414,1084,461,61
Cheese Manufacturers;347,1113,400,74
Alpina Cheese Co., Ltd. (in boxes), Burgdorf.;379,1157,754,77
Chemical Manufacturers;346,1223,445,69
Aktiengesellschaft vorm. B. Siegfried (synthetics), Zofingen.;376,1246,967,72
Chemical Works Flora (for perfume trade, confectionery etc.,;380,1303,1041,75
insecticide), Dübendorf, Zurich.;414,1357,510,58
Chemische Fabrik vorm. Sandoz (dyestuffs), Basle.;380,1382,822,62
Clayton Aniline Co., Ltd. (dyestuffs), Ashton New Road, Clay¬;387,1412,1030,89
ton, Manchester.;417,1483,274,51
Durand & Huguenin, A.-G. (pharmaceutical), Basle.;383,1491,843,94
Herbert Green & Co., Ltd. (alcohol, ethyl, fusel oil) Ruskin;380,1541,1056,90
Chambers, Scale Lane, Hull.;421,1606,472,63
Hoffmann-La Roche & Co. (pharmaceutical), Basle.;383,1638,806,68
Th. Mühlethaler, S. A. (synthetic), Nyon.;384,1689,655,64
Society of Chemical Industry in Basle (dyestuffs), Basle.;383,1722,919,67
Usines de l'Allondon (synthetic) La Plaine, Geneva.;387,1783,846,74
Chocolate Manufacturers;355,1828,447,86
Chocolats de Villars, S. A., Fribourg.;384,1862,615,80
Nestlé & Anglo-Swiss Condensed Milk Co., Vevey.;387,1910,835,88
Peter, Cailler, Kohler, La Tour-de-Peilz.;384,1975,657,59
Suchard, S. A., Neuchätel.;380,2021,441,65
Chronographs;351,2072,261,73
Audemars, Piguet & Co., Ltd., Les Brassus.;383,2101,734,94
Ulysse Nardin, Le Locle and Geneva.;391,2178,609,71
Boiler Manufacturers;365,387,386,84
"Calorie" S. A., 5/7, Rue de l'Est, Geneva.;414,439,703,83
Sulzer Frères S. A., Winterthur.;405,489,519,84
Boilers (Electric);367,544,300,72
Fritz Sauter A.-G., Basle.;405,582,421,76
Bolting Cloth Manufacturers;372,641,514,70
Swiss Silk Bolting Cloth Manufacturing Co. Ltd., Zurich.;405,678,936,65
Swiss Silk Bolting Cloth Manufacturing Co. Ltd., St. Gallen.;400,741,1004,64
Bones (Dealers in);368,784,340,71
G. Mc. Intyre Brown, Case Postale Rue du Rhône 1698, Geneva.;405,817,1049,89
Book-Binders;367,886,255,66
Emil Birkhäuser & Co., 11, Elisabethenstrasse, Basle.;406,905,875,94
Säuberlin & Pfeiffer S. A., Vevey.;403,977,559,73
Book Cloth Manufacturers;367,1039,488,55
Winterbottom Book Cloth Co., Ltd., 12, Newton Street, Manchester.;409,1050,1037,107
Booksellers;365,1138,212,75
Th. Roussy (Librairie Anglaise), 8, Rue de Bourg, Lausanne.;403,1159,992,108
Booking Offices;365,1239,306,75
Cunard Steamship Co., Ltd., 5, Haldenstrasse, Lucerne.;406,1265,910,90
Galland & Co., 3, Place St. François, Lausanne.;405,1344,779,54
Perrin & Co., 15, Place St. François, Lausanne.;403,1391,772,70
Boot and Shoe Manufacturers;367,1442,543,72
Bally Shoe Factories, Ltd., Schoenenwerd.;401,1491,694,56
E. Penton & Son (agent in Switzerland: F. Schenkel-Wyss, 60,;399,1529,1047,65
Huttenstrasse, Zurich), 1—11, Mortimer Street, London W. 1.;435,1579,1015,74
Box Manufacturers;365,1622,350,71
Barringer, Wallis & Manners, Ltd., Mansfield, Nottinghamshire.;401,1667,1044,78
Braid Manufacturers;363,1735,379,76
G. Kappeler (in cotton and silk), Zofingen.;405,1768,700,81
Brazing and Welding Compounds;363,1841,618,80
Laboratoires Castolin, Wassermann & Co. (auto-chemical for cast;399,1886,1051,72
iron etc.), 12, Avenue Fraisse, Lausanne.;429,1939,667,69
Calculating Machines;361,1966,392,89
H. W. Egli, S. A., 2, Albisstrasse, Zurich.;393,2019,687,93
Cardboard Articles;363,2086,362,81
Säuberlin & Pfeiffer, S. A., Vevey.;395,2131,578,90
Cutlery Manufacturers;370,403,412,86
Mappin & Webb, Ltd., Galerie St. François, Lausanne.;404,451,900,80
Cycles (dealers in);374,512,339,72
Jan & Cie., 10, Terreaux, Lausanne.;409,565,587,79
Cycles (manufacturers);374,614,406,74
Birmingham Small Arms Co., Ltd. (fittings and specialities), 27.;404,645,1043,114
Pall Mall, London S. W. 1.;434,712,450,51
British Cycle & Motor Cycle Manufacturers' & Traders' Union.;405,741,1037,71
Ltd. (components and accessories), The Towers, Warwick Road.;442,795,1000,77
Coventry.;442,830,163,51
Manufacture Générale de Cycles, S. A. (accessories), 34, Rue de;400,851,1047,99
la Synagogue, Geneva.;435,915,375,52
Mead Cycle Co., Inc., 50, George Street, Balsall Heath, Bir¬;400,941,1039,69
mingham.;430,990,167,67
Debt Collectors;360,1031,298,68
Herren & Guerchet, 10, Rue Petitot, Geneva.;396,1073,751,102
L. Kohler, 11, St. Pierre, Lausanne.;399,1138,576,65
Decorated Tin and Metal Boxes;362,1185,586,65
Barringer, Wallis & Manners, Ltd., Mansfield, Nottinghamshire,;396,1220,1043,106
Dental Instruments and Appliances;360,1308,645,58
Koelliker & Co., S. A., 5, Gerbergasse, Zurich.;396,1351,776,53
Les Fils d'Auguste Maillefer, Ballaigues (Vaud).;398,1395,778,64
Diamond Draw Dies;360,1443,383,73
Swiss Jewel Co., S. A., Locarno.;391,1490,549,89
Diamond Merchants;359,1536,365,77
Golay Sons & Stahl, Ltd., Geneva.;395,1589,580,67
Junod Frères, Lausanne.;396,1640,403,80
Diesel Engines;362,1686,279,70
Sulzer Frères, S. A., Winterthur.;392,1718,536,102
Disinfecting apparatus;356,1791,420,72
Sulzer Frères, S. A., Winterthur.;391,1845,539,79
Disintegrators (electric);355,1898,436,77
Sauerstoff und Wassertoffwerk, A.-G., Lucerne.;392,1937,785,88
Drapery Merchants;357,2001,355,77
Bigar Frères, 21, Rue du Pont, Lausanne.;392,2036,691,87
Bonnard & Cie., S. A., 14, Place St. François, Lausanne.;390,2109,925,64
C. P. Coate, “Old England", Grand Pont, Lausanne.;392,2155,856,76
Aluminium (Manufacturers);367,401,499,59
R. V. Neher, A. G. (in foil, sheets, ribbons, wire, rounds and;406,455,1054,62
cables), Emmishofen.;447,489,338,62
Aluminium goods (Manufacturers);372,517,607,92
E. Pfaendler & Co. (Cooking and household utensils), Industrie;404,564,1058,109
Quartier, Olten.;444,622,267,58
Sigg, Ltd., Frauenfeld.;405,659,376,62
Swiss Metal Works Selve & Co., Thun.;405,708,655,69
Alkaloid Manufacturers;367,744,431,79
Usines de l'Allondon, La Plaine, Geneva.;405,786,674,83
Ambulance (motor) Manufacturers;371,839,626,84
Fabrique d'Automobiles, "Berna", S. A., Olten.;402,903,777,79
Aniline Colour Manufacturers;365,947,550,67
Chemische Fabrik vorm. Sandoz, Basle.;406,1000,652,62
Clayton Aniline Co., Ltd., Ashton New Road, Clayton, Manchester;405,1034,1040,105
J. R. Geigy, A. G., Basle.;407,1097,412,66
Sandoz Chemical Co., Ltd., Craven Bank Chambers, Market;401,1126,992,93
Street, Bradford.;439,1186,276,55
Society of Chemical Industry in Basle, Basle.;405,1211,744,83
Argon Manufacturers;365,1273,397,62
Sauerstoff- und Wasserstoff-Werk A.-G., Lucerne.;401,1331,829,71
Art Leader Cloth;365,1378,331,58
Fr. Schenkel-Wyss, 60, Huttenstrasse, Zurich.;402,1398,745,96
Art Needlework;365,1476,298,58
J. G. Weith, 27, Bourg, Lausanne.;410,1509,555,87
Artificial Silk;365,1569,256,82
J. Hopf & Co. (Artificial Silk Yarns of every description, single;401,1605,1048,99
and twisted, raw and dyed, Wastes), Basle.;433,1671,733,47
Auto-Chemical-Welding Compounds for Cast Iron etc.;361,1718,995,48
Laboratoires Castolin, Wassermann & Co., 12, Avenue Fraisse;396,1767,1043,58
Lausanne.;437,1808,166,50
Bananas (West Indian);365,1842,414,75
Stephen Taylor, 85, Sihlquai, Zurich.;398,1874,608,103
Bandage Cloths;365,1945,302,70
Fr. Schenkel-Wyss, 60, Huttenstrasse, Zurich.;397,1972,741,101
Bankers;367,2040,157,69
Julius Baer & Co., 48, Bahnhofstrasse, Zurich.;404,2064,755,93
Bank, A.-G. Guyerzeller, 1, Bahnhofstrasse, Zurich.;398,2140,839,85
