transcription	location_list_match	location_list_item	location_list_result	company_pattern_match	company_pattern_item	company_pattern_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	year	page	range_definition	address_pattern_match	address_pattern_item	address_pattern_result	title_pattern_match	title_pattern_item	title_pattern_result	address_list_match	address_list_item	address_list_result
Kenroy Trading (Gough & Co.) (goods for mail order or chain stores businesses), 7, avenue Jean Jacques Rousseau, Neuchâtel; Phone (038) 5 2291; Telgr. Kenroy Neuchâtel.	True	Neuchâtel.	Neuchâtel.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Kenroy Trading (Gough & Co.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Gough & Co.) (goods for mail order or chain stores businesses), 7, avenue Jean Jacques Rousseau, Neuchâtel; Phone (038)	1948	55	index									
Albrecht Rosenthal, 16, Badenerstrasse, Zurich; Phone (051) 25 85 90; Telgr. Rosentex» Zurich.	True	Zurich.	Zurich.				True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(051)	1948	55	index	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	16, Badenerstrasse						
Sogex S. A., 1lbis, rue Toepffer, Geneva; Phone (022) 4 32 23; Telgr. Sogex», Geneva.	True	Geneva.	Geneva.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Sogex S. A.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(022)	1948	55	index									
J. H. Trachsler Ltd., 30, Neuengasse, Berne; Phone (031) 2 4475; Telgr. Tracherus, Berne.	True	Berne.	Berne.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	J. H. Trachsler Ltd.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(031)	1948	55	index	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	30, Neuengasse						
Cable Manufacturers										1948	55	index				True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Cable Manufacturers			
R. & E. Huber Ltd. (also electric wires), Pfäffikon, Zurich; Phone (051) 97 53 01.				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	R. & E. Huber Ltd.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(also electric wires), Pfäffikon, Zurich; Phone (051)	1948	55	index									
Capeline Manufacturers										1948	55	index				True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Capeline Manufacturers			
Jacques Isler & Co. Ltd., Wohlen; Phone (057) 6 15 21; Telgr. Jacisler, Wohlenaargau, also at Luton, England.				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Jacques Isler & Co. Ltd.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(057)	1948	55	index									
Card Clothing Manufacturers										1948	55	index				True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Card Clothing Manufacturers			
Graf & Co., Rapperswil, Phone (055) 2 1163.				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Graf & Co.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(055)	1948	55	index									
