transcription	company_pattern_match	company_pattern_item	company_pattern_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	address_pattern_match	address_pattern_item	address_pattern_result	year	page	range_definition	title_pattern_match	title_pattern_item	title_pattern_result	location_list_match	location_list_item	location_list_result	address_list_match	address_list_item	address_list_result	phone_number_pattern_match	phone_number_pattern_item	phone_number_pattern_result
Watch Stones Co. Ltd. (Precision intruments), 11, Bernstrasse, Thoune; Phone (033 23103; Telgr. Stones, Thoune.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Watch Stones Co. Ltd.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Precision intruments)	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	11, Bernstrasse	1948	113	index												
Henry Wild, Surveying Instruments Supply Co. Ltd., Heer¬ brugg; Phone (071) 7 2433; Telgr. Wico» Heerbrugg.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Henry Wild, Surveying Instruments Supply Co.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(071)				1948	113	index												
Insulating Material										1948	113	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Insulating Material									
A. Schellenbaum & Co., Winterthur; Phone (052) 2 1777; 2 17 78; Telgr. Schecob Winterthur.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	A. Schellenbaum & Co.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(052)				1948	113	index				True	Winterthur.	Winterthur.						
Société Suisse Clémateite S.A., Vallorbe; Phone (021) 8 41 52; Telgr. Clématites Vallorbe.				True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(021)				1948	113	index				True	Vallorbe.	Vallorbe.						
L. Wachendorf & Co. (for the electrical industry), 45, Frei¬ strasse, Basle; Phone (061) 4 1890; 4 18 99; Telgr. Wachendorf, Basle.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	L. Wachendorf & Co.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(for the electrical industry), 45, Frei¬ strasse, Basle; Phone (061)	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	45, Frei¬ strasse	1948	113	index				True	Basle.	Basle.						
Wettler & Frey (for the electrical industry), 37, Ottikerstrasse, Zurich 6; Phone (051) 28 12 60; Telgr. Stahlwettler, Zurich.				True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(for the electrical industry), 37, Ottikerstrasse, Zurich 6; Phone (051)	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	37, Ottikerstrasse	1948	113	index				True	Zurich.	Zurich.						
Insurance										1948	113	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Insurance									
Accident and Casualty Insurance Co. of Winterthur (Accident. Liability, Collison, Burglary and Fidelity Insurance), Winter¬ thur; Phone (052) 2 21 11; Telgr. Accident, Winterthur.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Accident and Casualty Insurance Co.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Accident. Liability, Collison, Burglary and Fidelity Insurance), Winter¬ thur; Phone (052)				1948	113	index				True	Winterthur.	Winterthur.						
Balloise Marine Insurance Co. Ltd. (Marine and re-insurance in all branches except Life), 51, Elisabethenstrasse, Basle; Phone (61) 237 14; Telgr. Batras Basle.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Balloise Marine Insurance Co. Ltd.	True	(?!\(Emmenthal\)|\(Genève\)|\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Marine and re-insurance in all branches except Life), 51, Elisabethenstrasse, Basle; Phone (61)	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	51, Elisabethenstrasse	1948	113	index				True	Basle.	Basle.						
