transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Trade and Name Address	True	Trade and Name	1921	21	index						
COUPLINGS (AUTOMATIC			1921	21	index	True	COUPLINGS (AUTOMATIC				
Société des Aciéries ci-devant George Fischer			1921	21	index						
Schaffhausen			1921	21	index						
CRANES			1921	21	index	True	CRANES				
Schindler & Co.			1921	21	index			True	Schindler & Co.		
Luzern			1921	21	index					True	Luzern
CURTAIN MANUFACTURERS			1921	21	index	True	CURTAIN MANUFACTURERS				
Thomas Adams			1921	21	index						
Nottingham			1921	21	index					True	Nottingham
A. C. Pearse Ltd.			1921	21	index			True	A. C. Pearse Ltd.		
14, Pilcher Gate Nottingham			1921	21	index					True	Nottingham
CUSTOMS AGENTS			1921	21	index	True	CUSTOMS AGENTS				
Basler Lagerhausgesellschaft			1921	21	index					True	Basle
Erlenstrasse 1, Basel			1921	21	index					True	Basel
Goth & Co.			1921	21	index			True	Goth & Co.		
Elisabethenstrasse 45 Basel			1921	21	index					True	Basel
Perrin & Cie.			1921	21	index						
Place de la Gare Lausanne			1921	21	index					True	Lausanne
CUTLERY MANUFACTURERS			1921	21	index	True	CUTLERY MANUFACTURERS				
Mappin & Webb Ltd.			1921	21	index			True	Mappin & Webb Ltd.		
Galerie St. François Lausanne			1921	21	index					True	Lausanne
CYCLE DEALERS			1921	21	index	True	CYCLE DEALERS				
Jan & Cie.			1921	21	index						
Terreaux 10 Lausanne			1921	21	index					True	Lausanne
DENTAL INSTRUMENTS AND APPLIANCES			1921	21	index	True	DENTAL INSTRUMENTS AND APPLIANCES				
De Trey & Co., Ltd.			1921	21	index			True	De Trey & Co., Ltd.		
Solila House Swallow Street London W. 1			1921	21	index					True	London
Koelliker & Co., A. G.			1921	21	index			True	Koelliker & Co., A. G		
Gerbergasse 5 Zürich			1921	21	index					True	Zürich
Les Fils d'Auguste Maillefer			1921	21	index						
Ballaigues, Vaud			1921	21	index						
DIAMOND MERCHANTS			1921	21	index	True	DIAMOND MERCHANTS				
Ehrmann & Co.			1921	21	index			True	Ehrmann & Co.		
20, Holborn Viaduct London E. C.			1921	21	index					True	London
Golay Sons & Stahl Ltd.			1921	21	index			True	Golay Sons & Stahl Ltd.		
Genève			1921	21	index						
Junod Frères			1921	21	index			True	Junod Frères		
Lausanne			1921	21	index					True	Lausanne
DIESEL ENGINES			1921	21	index	True	DIESEL ENGINES				
Sulzer Frères S. A.			1921	21	index			True	Sulzer Frères S. A.		
Winterthur			1921	21	index					True	Winterthur
