transcription	year	page	range_definition	location_found	location	company_found	company
Trade and Name Address	1921	54	index				
WINE MERCHANTS	1921	54	index				
H. Cottier	1921	54	index				
Avenue Ruchonet Lausanne	1921	54	index	True	Lausanne		
J. M. Huebel-Baudry	1921	54	index				
Route de Florissant 6 Genève	1921	54	index				
WOOLLEN MANUFACTURERS	1921	54	index				
James Porteous & Co., Ltd. WOOL MERCHANTS	1921	54	index			True	James Porteous & Co., Ltd.
Alva, Scotland	1921	54	index				
	1921	54	index				
Akroyd Brothers	1921	54	index			True	Akroyd Brothers
Imperial Building Bolton Road Bradford	1921	54	index	True	Bradford		
A. H. Guggenheim	1921	54	index				
Basel	1921	54	index	True	Basel		
Simonius, Vischer & Co.	1921	54	index			True	Simonius, Vischer & Co.
Nadelberg 24 Basel	1921	54	index	True	Basel		
WORKSHOPS	1921	54	index				
Gesellschaft der L. von Roll'schen Eisenwerke	1921	54	index				
Gerlafingen	1921	54	index				
YARN MANUFACTURERS	1921	54	index				
Appenzeller, Keller & Co. Silk, dyed	1921	54	index			True	Appenzeller, Keller & Co.
Fraumünsterstrasse 21 Zürich	1921	54	index				
The Beacon Spinning Co., Ltd. Hosiery yams	1921	54	index			True	The Beacon Spinning Co., Ltd.
15, Sunbridge Road Bradford	1921	54	index	True	Bradford		
Greenhalgh & Shaw Ltd. Cotton, sewing, heald, embroidery, knitting, mercerised and double-spun for lace and nets	1921	54	index			True	Greenhalgh & Shaw Ltd.
Halliwell Milis Bolton	1921	54	index	True	Bolton		
Reuben Gaunt & Sons Ltd. Botany yarns	1921	54	index			True	Reuben Gaunt & Sons Ltd.
Farsley Leeds	1921	54	index	True	Leeds		
W. Hollins & Co., Ltd. Knitting, hosiery and silk, dyed	1921	54	index			True	W. Hollins & Co., Ltd.
Bahnhofstrasse 31 Zürich	1921	54	index				
Industrie Gesellschaft für Schappe Silk spun	1921	54	index				
Isteinerstrasse 50 Basel	1921	54	index	True	Basel		
Mahler & Sichel Knitting and general	1921	54	index				
Bradford	1921	54	index	True	Bradford		
The Marland Spinning Co., Ltd. Cotton, combed and general	1921	54	index			True	The Marland Spinning Co., Ltd.
Rochdale Lancs.	1921	54	index	True	Rochdale		
ZEPHYR MANUFACTURERS	1921	54	index				
W. Hollins & Co., Ltd.	1921	54	index			True	W. Hollins & Co., Ltd.
Bahnhofstrasse 31 Zürich	1921	54	index				
