transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Trade and Name Address	True	Trade and Name	1921	24	index						
ELECTRO METAL MANUFACTURERS			1921	24	index	True	ELECTRO METAL MANUFACTURERS				
Usines Electro-métallurgiques Météor S. A.			1921	24	index						
Genève			1921	24	index						
Schindler & Co.			1921	24	index			True	Schindler & Co.		
Luzern			1921	24	index					True	Luzern
EMBROIDERY MANUFACTURERS			1921	24	index	True	EMBROIDERY MANUFACTURERS				
Space does not permit of full details being inserted. The term fancy goods covers flouncings, edgings, insertions, gallons. plumetis, collars, aprons and handkerchiefs. Lingerie under separate heading.			1921	24	index						
J. Allaman & Co. Fancy and piece goods			1921	24	index			True	J. Allaman & Co.		
Güttingen, Thurgau			1921	24	index						
Albrecht, Tobler & Cie Fancy and piece goods, principally white			1921	24	index						
St. Leonhardstrasse 61 St. Gallen			1921	24	index						
Arbon Embroidery works Ltd. Fancy goods, piece goods, hand embroidery			1921	24	index			True	Arbon Embroidery works Ltd.		
Arbon			1921	24	index						
Automatenstickerei Krontal Ltd.			1921	24	index			True	Automatenstickerei Krontal Ltd.	True	Krontal
St. Fiden St. Gallen			1921	24	index						
Bächtold & Cie.			1921	24	index						
Herisau			1921	24	index					True	Herisau
Blanc & Berlinger (Fancy goods)			1921	24	index						
Speicher Appenzell			1921	24	index					True	Speicher
Bücheler & Cie. Fancy goods and general			1921	24	index						
Wiesenthal-Herisau			1921	24	index					True	Herisau
H. Freedman & Co.			1921	24	index			True	H. Freedman & Co.		
17, Cooper Street Manchester			1921	24	index					True	Manchester
V. Keel & Co. Ltd.			1921	24	index			True	V. Keel & Co. Ltd.		
Feohngartenstrasse St. Gallen			1921	24	index						
Kriesener & Co. Fancy goods			1921	24	index			True	Kriesener & Co.		
St. Leonhardstrasse 31 St. Gallen			1921	24	index						
Kuffer & Scott			1921	24	index						
Neuchâtel			1921	24	index						
Labhard & Cie. Fanci goods and general			1921	24	index						
St. Gallen			1921	24	index						
Walter Mather & Co.			1921	24	index			True	Walter Mather & Co.		
Peakes Place Cotton Works Bolton			1921	24	index					True	Bolton
Neuberger & Co. Fancy goods			1921	24	index			True	Neuberger & Co.		
St. Gallen			1921	24	index						
