transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Trade and Name	True	Trade and Name	1921	19	index						
Address	True	Address	1921	19	index						
COMB MANUFACTURERS			1921	19	index	True	COMB MANUFACTURERS				
Deprez & Cie.			1921	19	index						
Nyon			1921	19	index						
CONFECTIONERS			1921	19	index	True	CONFECTIONERS				
Huguenin, Gattiker & Co.			1921	19	index			True	Huguenin, Gattiker & Co.		
Bahnhofstrasse 39 Zürich			1921	19	index					True	Zürich
COOKING PLANTS (STEAM			1921	19	index	True	COOKING PLANTS				
Sulzer Frères S. A.			1921	19	index			True	Sulzer Frères S. A.		
Winterthur			1921	19	index					True	Winterthur
COTTON DOUBLERS			1921	19	index	True	COTTON DOUBLERS				
Greenhalgh & Shaw			1921	19	index						
Halliwell Mills Bolton			1921	19	index					True	Bolton
COTTON PIECE GOODS MANUFACTURERS			1921	19	index	True	COTTON PIECE GOODS MANUFACTURERS				
Thomas Adams All classes			1921	19	index						
Nottingham			1921	19	index					True	Nottingham
J. Allaman & Cie. Embroidered			1921	19	index						
Güttingen			1921	19	index						
Albrecht, Tobler & Cie. Embroidered			1921	19	index						
St. Leonhardstrasse 61 St. Gallen			1921	19	index						
Arbon Embroidery works Ltd. Embroidered			1921	19	index			True	Arbon Embroidery works Ltd.		
Arbon			1921	19	index						
Bächtold & Cie. Embroidered			1921	19	index						
Wiesenthal Herisau			1921	19	index					True	Herisau
Bücheler & Cie. Embroidered			1921	19	index						
Herisau			1921	19	index					True	Herisau
C. F. Burditt & Co. Cambrics, etc.			1921	19	index			True	C. F. Burditt & Co.		
22, Lloyds Street Manchester			1921	19	index					True	Manchester
Burgess, Ledward & Co., Ltd. Fast de coloured goods			1921	19	index			True	Burgess, Ledward & Co., Ltd.		
22, Dickinson Street Manchester			1921	19	index					True	Manchester
Calico Printers Association Ltd. All classes and printed			1921	19	index			True	Calico Printers Association Ltd.		
St. James's Buildings Oxford Street Manchester			1921	19	index					True	Manchester
Church Street Manufacturing Co., Ltd. Cambrics, etc.			1921	19	index			True	Church Street Manufacturing Co.		
Wellington Mill Great Harwood			1921	19	index					True	Wellington
H. Freedmann & Co. Cambrics and grey cloth			1921	19	index			True	H. Freedmann & Co.		
17, Cooper Street Manchester			1921	19	index					True	Manchester
Richard Haworth & Co., Ltd. All classes			1921	19	index			True	Richard Haworth & Co., Ltd.		
35, Dale Street Manchester			1921	19	index					True	Manchester
