transcription	year	page	range_definition	location_found	location	company_found	company
Address Trade and Name	1921	35	index				
J. H. Grimshaw Currier and Dresser	1921	35	index				
Balm Road Leather Works, Hunslet Leeds	1921	35	index	True	Leeds		
James Strang Agent for Motor Car Leathers	1921	35	index				
Langmoos Rorschach	1921	35	index	True	Rorschach		
LIBRARIES	1921	35	index				
Théodore Roussy English Books	1921	35	index				
Rue de Bourg 3 Lausanne	1921	35	index	True	Lausanne		
LIGHTERS (AUTOMATIC) MANUFACTURERS OF	1921	35	index				
Hermann Thorens	1921	35	index				
Ste. Croix	1921	35	index				
LINEN MANUFACTURERS	1921	35	index				
Kuffer & Scott	1921	35	index				
Neuchâtel	1921	35	index				
LINGERIE MANUFACTURERS	1921	35	index				
J. Allaman & Co.	1921	35	index			True	J. Allaman & Co.
Güttingen Thurgau	1921	35	index				
Arbon Embroidery works Ltd.	1921	35	index			True	Arbon Embroidery works Ltd.
Arbon	1921	35	index				
Maus Frères	1921	35	index			True	Maus Frères
Genève	1921	35	index				
Zuberbühler & Co., Ltd.	1921	35	index			True	Zuberbühler & Co., Ltd.
Zurzach	1921	35	index				
LOUMS, AUTOMATIC. MANUFACTURERS OF	1921	35	index				
Henry Baer & Co.	1921	35	index			True	Henry Baer & Co.
Elisabethenstrasse 12 Zürich	1921	35	index				
LORRAINE EMBROIDERIES	1921	35	index				
Arbon Embroidery works Ltd.	1921	35	index			True	Arbon Embroidery works Ltd.
Arbon	1921	35	index				
LORRY MANUFACTURERS	1921	35	index				
„Berna“ Lorries Ltd.	1921	35	index			True	„Berna“ Lorries Ltd.
Olten	1921	35	index	True	Olten		
Adolphe Saurer S. A.	1921	35	index				
Arbon	1921	35	index				
MACHINERY MANUFACTURERS	1921	35	index				
A. C. M. E. (Ateliers de construction mécaniques de Lausanne)	1921	35	index				
Lausanne	1921	35	index	True	Lausanne		
Henry Baer & Co., Ltd. Textile machinery, automatic looms, testing instruments for textile machinery, automatic cup changing motions	1921	35	index			True	Henry Baer & Co., Ltd.
Elisabethenstrasse 12 Zürich	1921	35	index				
