transcription	year	page	range_definition	location_found	location	company_found	company
Trade and Name	1921	18	index				
Address	1921	18	index				
COAL SHIPPERS	1921	18	index				
A. H. Callias	1921	18	index				
Montreux	1921	18	index	True	Montreux		
H. G. Cann The Maindy Trading Co., Ltd.	1921	18	index			True	H. G. Cann The Maindy Trading Co.
Rue de Mogador 31 Paris	1921	18	index				
The Coal Supply Co., Ltd.	1921	18	index			True	The Coal Supply Co., Ltd.
Wallstrasse 13 Basel	1921	18	index	True	Basel		
G. de Loriol & Co.	1921	18	index			True	G. de Loriol & Co.
9, Queen Street Newcastle on Tyne	1921	18	index	True	Newcastle		
J. Hirter & Co.	1921	18	index			True	J. Hirter & Co.
Gurtengasse 3, Bern	1921	18	index	True	Bern		
A. Lacey & Co, Ltd.	1921	18	index			True	A. Lacey & Co, Ltd.
Hull	1921	18	index	True	Hull		
Hans Müller	1921	18	index				
St. Gallen	1921	18	index				
COCA MANUFACTURERS	1921	18	index				
Nestlé & Anglo-Swiss Condensed Milk Co., Ltd.	1921	18	index			True	Nestlé & Anglo-Swiss Condensed Milk Co.
Vevey	1921	18	index	True	Vevey		
Peter, Cailler, Kohler	1921	18	index				
La Tour de Peilz Vevey	1921	18	index	True	Vevey		
Suchard S. A.	1921	18	index				
Neuchâtel	1921	18	index				
de Villars S. A.	1921	18	index				
Fribourg	1921	18	index				
COKE MERCHANTS	1921	18	index				
	1921	18	index				
The Coal Supply Co, Ltd	1921	18	index				
Wallstrasse 13 Basel	1921	18	index	True	Basel		
G. de Loriol & Co.	1921	18	index			True	G. de Loriol & Co.
9. Queen Street Newcastle on Tyne	1921	18	index	True	Newcastle		
J. Hirter & Co	1921	18	index				
Gurtengasse 3, Bern	1921	18	index	True	Bern		
A. Lacey & Co., Ltd.	1921	18	index			True	A. Lacey & Co., Ltd.
Hull	1921	18	index	True	Hull		
Hans Müller	1921	18	index				
St. Gallen	1921	18	index				
COLONIAL PRODUCE IMPORTERS	1921	18	index				
O. Jaeger	1921	18	index				
Bahnhofstrasse 30 Zürich	1921	18	index	True	Zürich		
Volkart Brothers	1921	18	index			True	Volkart Brothers
Winterthur	1921	18	index	True	Winterthur		
Winandy & Cie.	1921	18	index				
Rue de Bourg 16 Lausanne	1921	18	index	True	Lausanne		
COLOUR MANUFACTURERS	1921	18	index				
Blundell, Spence & Co., Ltd.	1921	18	index			True	Blundell, Spence & Co., Ltd.
Hull	1921	18	index	True	Hull		
Durand & Huguenin A. G.	1921	18	index			True	Durand & Huguenin A. G
Basel	1921	18	index	True	Basel		
Standard Lack- und Farben-Werke	1921	18	index				
Altstetten, bei Zürich	1921	18	index	True	Zürich		
