transcription	year	page	range_definition	company_found	company	location_found	location	address_list_found	address_list_item
Address Trade and Name	1921	52	index						
	1921	52	index						
James Livesey Ltd.	1921	52	index	True	James Livesey Ltd.				
Ewood Mills Blackborn	1921	52	index						
Mahler & Sichel	1921	52	index						
Bradford	1921	52	index			True	Bradford		
Walter Mather & Co., Ltd.	1921	52	index	True	Walter Mather & Co., Ltd.				
Peakes Place Cotton Works, Bolton	1921	52	index			True	Bolton		
WAREHOUSEMEN	1921	52	index						
Basler Lagerhausgesellschaft	1921	52	index						
Erlenstrasse 1 Basel	1921	52	index			True	Basel		
Crow & Co., Ltd.	1921	52	index	True	Crow & Co., Ltd.				
Langegasse 9 Basel	1921	52	index			True	Basel		
Goth & Co.	1921	52	index	True	Goth & Co.				
Elisabethenstrasse 45 Basel	1921	52	index			True	Basel		
Lep Transport & Depository Ltd.	1921	52	index	True	Lep Transport & Depository Ltd.				
Castle Street Long Acre London W. C 2	1921	52	index			True	London		
Perrin & Cie.	1921	52	index						
Place de la Gare Lausanne	1921	52	index			True	Lausanne		
WASTE MERCHANTS	1921	52	index						
Ackroyd Brothers Wool waste	1921	52	index	True	Ackroyd Brothers				
Imperial Buildings Bradford	1921	52	index			True	Bradford	True	Imperial Buildings
Gesellschaft für Verwertung von Abfällen	1921	52	index						
Birsfelden/ Basel	1921	52	index			True	Basel		
Buyers of Cotton waste	1921	52	index						
	1921	52	index						
A. Guggenheim S. A. Silk waste	1921	52	index						
Basel	1921	52	index			True	Basel		
WATCH MANUFACTURERS	1921	52	index						
C. Allemann-Hug	1921	52	index						
Rosières Solothurn	1921	52	index			True	Solothurn		
J. Blum-Schwob	1921	52	index						
Rue Numa-Droz 151 La Chaux de Fonds	1921	52	index						
A. Eigeldinger Fils	1921	52	index						
Rue de la Paix 129 La Chaux de Fonds	1921	52	index						
Gallet & Co., S. A. Fabrique d'Horlogerie Electa	1921	52	index	True	Gallet & Co.				
La Chaux de Fonds	1921	52	index						
Golay Sons & Stahl Ltd.	1921	52	index	True	Golay Sons & Stahl Ltd.				
Quai des Bergues 31 Genève	1921	52	index						
