transcription	year	page	range_definition	company_found	company	location_found	location
Trade and Name Address	1921	30	index				
HOSIERY MERCHANTS	1921	30	index				
Ernest Adler	1921	30	index				
Rue de la Croix 14 Genève	1921	30	index				
Coate & Co.	1921	30	index	True	Coate & Co.		
„Old England Genève	1921	30	index				
C. P. Coate	1921	30	index				
„Old England Lausanne	1921	30	index			True	Lausanne
H. de Groot	1921	30	index				
„Albion House Lausanne	1921	30	index			True	Lausanne
J. Rupert Heywood	1921	30	index			True	Heywood
Usteristrasse Zürich	1921	30	index			True	Zürich
R. J. Kirkby	1921	30	index				
„London House Lausanne	1921	30	index			True	Lausanne
J. G. Weith	1921	30	index				
Bourg 27 Lausanne	1921	30	index			True	Lausanne
HOTELS	1921	30	index				
Golf & Sport Hotel	1921	30	index				
Montana	1921	30	index				
Hotel du Parc & Bernerhof	1921	30	index				
Basel	1921	30	index			True	Basel
Hotel Schweizerhof	1921	30	index				
Luzern	1921	30	index				
Hotels Seiler	1921	30	index				
Zermatt	1921	30	index				
Lausanne-Palace	1921	30	index				
Lausanne	1921	30	index			True	Lausanne
Montfleuri Private Hotel	1921	30	index				
Lausanne	1921	30	index			True	Lausanne
Palace Hotel	1921	30	index				
Montana	1921	30	index				
HOTEL MANAGEMENT	1921	30	index				
Société des Hoteliers de Lausanne¬ Ouchy	1921	30	index				
Lausanne	1921	30	index			True	Lausanne
HOT-WATER SUPPLY PLANTS	1921	30	index				
Sulzer Frères S. A.	1921	30	index	True	Sulzer Frères S. A.		
Winterthur	1921	30	index			True	Winterthur
HOUSE AND ETATE AGENTS	1921	30	index				
Galland & Cie.	1921	30	index				
Place St. François 3 Lausanne	1921	30	index			True	Lausanne
HUMIDIFYING PLANTS	1921	30	index				
Sulzer Frères S. A.	1921	30	index	True	Sulzer Frères S. A.		
Winterthur	1921	30	index			True	Winterthur
