transcription	year	page	range_definition	company_found	company	location_found	location
Address Trade and Name	1921	34	index				
Carl Günther	1921	34	index				
Kesslerstrasse 11 St. Gallen	1921	34	index				
Kriesener & Co.	1921	34	index	True	Kriesener & Co.		
St. Leonhardstrasse 31 St. Gallen	1921	34	index				
V. Keel & Co., Ltd.	1921	34	index	True	V. Keel & Co., Ltd.		
Frohngartenstrasse 5 St. Gallen	1921	34	index				
Kuffer & Scott	1921	34	index				
Neuchâtel	1921	34	index				
Labhard & Co.	1921	34	index	True	Labhard & Co.		
Merkurstrasse 3 St. Gallen	1921	34	index				
Neuberger & Co.	1921	34	index	True	Neuberger & Co.		
Vadianstrasse 44 St. Gallen	1921	34	index				
A. C. Pearse & Co., Ltd.	1921	34	index	True	A. C. Pearse & Co., Ltd.		
14, Pilcher Gate Nottingham	1921	34	index			True	Nottingham
Reichenbach & Co.	1921	34	index	True	Reichenbach & Co.		
St. Gallen	1921	34	index				
P. K. Wilson & Son	1921	34	index				
Teufenstrasse 1 St. Gallen	1921	34	index				
LAN MANUFACTURERS	1921	34	index				
C. F. Burditt & Co.	1921	34	index	True	C. F. Burditt & Co.		
22, Lloyds Street Manchester	1921	34	index			True	Manchester
LEAD TUBING, MERCHANTS & SHIPPERS	1921	34	index				
Venesta Ltd.	1921	34	index	True	Venesta Ltd.		
1, Great Tower Street London, E. C. 2	1921	34	index				
LEATHER BELTING FOR MACHINERY	1921	34	index				
Georges Michoud	1921	34	index				
Place Grand St. Jean 1 Lausanne	1921	34	index			True	Lausanne
LEATHER GOODS	1921	34	index				
Agency for British Trade	1921	34	index				
Sonnenquai 1 Zürich	1921	34	index				
Mappin & Webb Ltd.	1921	34	index	True	Mappin & Webb Ltd.		
Galerie St. François Lausanne	1921	34	index			True	Lausanne
LEATHER MERCHANTS	1921	34	index				
Agency for British Trade Agent	1921	34	index				
Sonnenquai 1 Zürich	1921	34	index				
August Fröhlich Agentur	1921	34	index				
Bahnhofstrasse 110 Zürich	1921	34	index				
