transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Trade and Name Address	True	Trade and Name	1921	40	index						
PAPER MERCHANTS			1921	40	index	True	PAPER MERCHANTS				
Gasser & Co.			1921	40	index			True	Gasser & Co.		
Untere Rheingasse 19 Basel			1921	40	index					True	Basel
PATENT AGENTS			1921	40	index	True	PATENT AGENTS				
Herren & Guerchet			1921	40	index						
Rue Jean-Petitot 10 Genève			1921	40	index						
PERFUME MANUFACTURERS			1921	40	index	True	PERFUME MANUFACTURERS				
Th. Mühlethaler S. A.			1921	40	index						
Nyon			1921	40	index						
Usines de l'Allondon			1921	40	index						
Rue Lombard 4 Genève			1921	40	index						
PHARMACEUTICAL PRODUCTS			1921	40	index	True	PHARMACEUTICAL PRODUCTS				
Chemische Fabrik Madoery			1921	40	index						
Basel			1921	40	index					True	Basel
Chemische Fabrik vorm. Sandoz			1921	40	index						
Basel			1921	40	index					True	Basel
Clayton Aniline Co., Ltd.			1921	40	index			True	Clayton Aniline Co., Ltd.		
Clayton Manchester			1921	40	index					True	Manchester
Hoffmann La Roche & Co.			1921	40	index			True	Hoffmann La Roche & Co.		
Basel			1921	40	index					True	Basel
Th. Mühlethaler			1921	40	index						
Nyon			1921	40	index						
Society of Chemical Industry in Basle			1921	40	index					True	Basle
Basel			1921	40	index					True	Basel
Usines de l'Allondon			1921	40	index						
Rue Lombard 4 Genève			1921	40	index						
PHOTOGRAPHIE ARTICLES AND PRODUCTS			1921	40	index	True	PHOTOGRAPHIE ARTICLES AND PRODUCTS				
J. Barcham Green & Son Manufacturers of Photographic Mounts			1921	40	index						
Hayle Mill Maidstone, Kent			1921	40	index					True	Maidstone
H. F. Goshawk Agent for Kodak Ltd.			1921	40	index			True	H. F. Goshawk Agent for Kodak Ltd.		
Bahnhofstrasse 37 Zürich			1921	40	index					True	Zürich
Society of Chemical Industry in Basle Manufacturers of plates, films, printing, papers, etc.			1921	40	index					True	Basle
Basel			1921	40	index					True	Basel
PLY WOOD AND PLY WOOD ARTICLES			1921	40	index	True	PLY WOOD AND PLY				
G. P. Skipworth			1921	40	index						
Gutenbergstrasse 1 Bern			1921	40	index					True	Bern
Venesta Ltd.			1921	40	index			True	Venesta Ltd.		
1, Great Tower Street London, E. C. 2			1921	40	index					True	London
POCKET LAMPS (ELECTRIC)			1921	40	index	True	POCKET LAMPS				
Leclanché & Co.			1921	40	index			True	Leclanché & Co.		
Yverdon			1921	40	index						
