transcription	year	page	range_definition	company_found	company	location_found	location	address_found	address
Trade and Name Address	1921	49	index						
TIMBER MERCHANTS	1921	49	index						
A. Lacey & Co., Ltd.	1921	49	index	True	A. Lacey & Co., Ltd.				
Hull	1921	49	index			True	Hull		
G. P. Skipworth	1921	49	index						
Gutenbergstrasse 1 Bern	1921	49	index			True	Bern		
Venesta Ltd.	1921	49	index	True	Venesta Ltd.				
1 Great Tower Street London E. C.	1921	49	index			True	London		
TOBACCO EXTRACTS	1921	49	index						
Fivaz & Cie.	1921	49	index						
Payerne	1921	49	index						
TOOL MANUFACTURERS	1921	49	index						
Ehrmann & Co. Dramond working Wols	1921	49	index	True	Ehrmann & Co.				
20 Holborn Viaduct London E. C.	1921	49	index			True	London		
Joos & Cie.	1921	49	index						
Spalenvorstadt 24 Basel	1921	49	index			True	Basel		
TOOL MERCHANTS	1921	49	index						
Meister Brothers & Co.	1921	49	index	True	Meister Brothers & Co.				
P. O. Box 17062 Basel	1921	49	index			True	Basel		
Fr. Schenkel-Wyss	1921	49	index						
Huttenstrasse 60 Zürich	1921	49	index						
TRACTORS AND TRAILERS	1921	49	index						
„Berna“ Lorries Ltd.	1921	49	index	True	„Berna“ Lorries Ltd.				
Olten	1921	49	index			True	Olten		
TRANSPORT AGENCIES	1921	49	index						
Basler Lagerhausgesellschaft	1921	49	index						
Erlenstrasse 1 Basel	1921	49	index			True	Basel		
Crow & Co., Ltd.	1921	49	index	True	Crow & Co., Ltd.				
Langegasse 9 Basel	1921	49	index			True	Basel		
Danzas & Co., A. G.	1921	49	index	True	Danzas & Co., A. G				
Basel	1921	49	index			True	Basel		
Dominion Express Co., Ltd. of Canada	1921	49	index	True	Dominion Express Co., Ltd.				
62, Charing Cross London, S. W.	1921	49	index					True	62, Charing Cross London
Goth & Co.	1921	49	index	True	Goth & Co.				
Elisabethenstrasse 45 Basel	1921	49	index			True	Basel		
Charles im Obersteg & Co.	1921	49	index	True	Charles im Obersteg & Co.				
Aeschengraben 30 Basel	1921	49	index			True	Basel		
Jacky, Maeder & Co.	1921	49	index	True	Jacky, Maeder & Co.				
Basel	1921	49	index			True	Basel		
A. Natural, Le Coultre & Cie.	1921	49	index						
Basel	1921	49	index			True	Basel		
Perrin & Cie.	1921	49	index						
Place de la Gare Lausanne	1921	49	index			True	Lausanne		
