transcription	headline_found	headline	title_found	title	year	page	range_definition	location_found	location	company_found	company
TRADE INDEX Classified List of the Members of the British Chamber of Commerce for Switzerland I	True	TRADE INDEX Classified List of the Members of the British Chamber of Commerce for Switzerland	True	TRADE INDEX C	1921	11	index				
Trade and Name	True	Trade and Name			1921	11	index				
Address	True	Address			1921	11	index				
ACTYLENE MANUFACTURERS			True	ACTYLENE MANUFACTURERS	1921	11	index				
Sauerstoff & Wasserstoff-Werk A. G. Luzern					1921	11	index	True	Luzern	True	Sauerstoff & Wasserstoff-Werk A. G
					1921	11	index				
ACCOUNT-BOOK MANUFACTURERS			True	ACCOUNT-BOOK MANUFACTURERS	1921	11	index				
Kalamazoo (Sales) Ltd. Loose leaf Ledgers					1921	11	index			True	Kalamazoo (Sales) Ltd.
Sonnenquai 10 Zürich					1921	11	index	True	Zürich		
AVERTISEMENT (METAL PLAQUE MANUFACTURERS			True	AVERTISEMENT (METAL PLAQUE MANUFACTURERS	1921	11	index				
Barringer, Wallis & Manners Ltd.					1921	11	index			True	Barringer, Wallis & Manners Ltd.
Mansfield					1921	11	index	True	Mansfield		
AGENTS (COMMISSION)			True	AGENTS (COMMISSION)	1921	11	index				
Agency for British Trade General					1921	11	index				
Sonnenquai 1 Zürich					1921	11	index	True	Zürich		
E. Bachelut					1921	11	index				
Riehen / Basel					1921	11	index	True	Basel		
D. Barnett Rue de Malagnou 15 General Genève					1921	11	index				
L. Borloz General					1921	11	index				
Bonne Brise Trabandan, Lausanne					1921	11	index	True	Lausanne		
Clarendon Manufacturing & Engineer- ing Co. Ltd.					1921	11	index			True	Clarendon Manufacturing & Engineer- ing Co.
20, Copthall Avenue London E. C. 3					1921	11	index	True	London		
Comptoir de Commission S. A. Lausanne General					1921	11	index	True	Lausanne		
English & Continental Trading Co. Ltd.					1921	11	index			True	English & Continental Trading Co.
Basel					1921	11	index	True	Basel		
Evans-Meride Ltd. Textiles					1921	11	index			True	Evans-Meride Ltd.
207, St. James Street Montreal, Canada					1921	11	index				
August Fröhlich Textile Leathers, Belting and Machinery					1921	11	index				
Bahnhofstrasse 110 Zürich					1921	11	index	True	Zürich		
Gattiker & Steinmann Dry Goods					1921	11	index				
Richterswil					1921	11	index	True	Richterswil		
Goodbehere Brothers Machinery					1921	11	index			True	Goodbehere Brothers
Birsigstrasse 82 Basel					1921	11	index	True	Basel		
