transcription	year	page	range_definition	company_found	company	location_found	location
Trade and Name Address	1921	47	index				
STEAMSHIP AND STEAMSHIP ENGINES	1921	47	index				
Sulzer Frères S. A.	1921	47	index	True	Sulzer Frères S. A.		
Winterthur	1921	47	index			True	Winterthur
STEEL MERCHANTS	1921	47	index				
Joos & Co.	1921	47	index	True	Joos & Co.		
Spalenvorstadt 20/24 Basel	1921	47	index			True	Basel
A. Lacey & Co., Ltd.	1921	47	index	True	A. Lacey & Co., Ltd.		
Hull	1921	47	index			True	Hull
Fr. Schenkel-Wyss	1921	47	index				
Huttenstrasse 60 Zürich	1921	47	index			True	Zürich
G. P. Skipworth	1921	47	index				
Gutenbergstrasse 1 Bern	1921	47	index			True	Bern
Usines Métallurgiques de Vallorbe	1921	47	index				
Vallorbe	1921	47	index				
Vickers Agency Co., for Switzerland Ltd.	1921	47	index	True	Vickers Agency Co.		
Place Neuve 2 Genève	1921	47	index				
STOCKBROKERS	1921	47	index				
F. H. Bartlett	1921	47	index				
Rue de la Con¬ fédération 23 Genève	1921	47	index				
J. Rinderknecht	1921	47	index				
Bärengasse 13 Zürich	1921	47	index			True	Zürich
SUPERHEATERS	1921	47	index				
Sulzer Frères S. A.	1921	47	index	True	Sulzer Frères S. A.		
Winterthur	1921	47	index			True	Winterthur
TAILORS	1921	47	index				
Ernest Adler	1921	47	index				
Rue de la Croix 14 Genève	1921	47	index				
Coate & Co.	1921	47	index	True	Coate & Co.		
Rue de la Croix d'Or 8/10 Genève	1921	47	index				
C. P. Coate	1921	47	index				
Old England Lausanne	1921	47	index			True	Lausanne
W. Thornton	1921	47	index				
Falknerstrasse 2 Basel	1921	47	index			True	Basel
TALLOW MERCHANTS	1921	47	index				
Weddel Beef Co.	1921	47	index	True	Weddel Beef Co.		
Rue du Port 11 Genève	1921	47	index				
