transcription	year	page	range_definition	company_found	company	location_found	location
Trade and Name Address	1921	45	index				
J. Babel & Co. Tie and dress goods	1921	45	index	True	J. Babel & Co.		
Place Longuemalle 1 Genève	1921	45	index				
S. & J. Bloch Söhne & Co.	1921	45	index	True	S. & J. Bloch Söhne & Co.		
Zürich	1921	45	index			True	Zürich
A. G. vorm. Baumann älter & Cie.	1921	45	index				
Thalstrasse 25 Zürich	1921	45	index			True	Zürich
Buser & Keiser & Co. Milanese silk	1921	45	index	True	Buser & Keiser & Co.		
Laufenburg	1921	45	index				
Industrie-Gesellschaft für Schappe Schappe and spun silk	1921	45	index				
Isteinerstrasse 50 Basel	1921	45	index			True	Basel
Kuffer & Scott Dress goods	1921	45	index				
Neuchâtel	1921	45	index				
Max Schlatter & Co. Tie and dress goods	1921	45	index	True	Max Schlatter & Co.		
St. Gallen	1921	45	index				
Seidenwarenfabrik vorm. E. Naef A. C. Tie and dress goods	1921	45	index				
Zürich	1921	45	index			True	Zürich
R. Schwarzenbach & Co. Dress goods	1921	45	index	True	R. Schwarzenbach & Co.		
Zürich	1921	45	index			True	Zürich
Stehli & Co. Broad silks	1921	45	index	True	Stehli & Co.		
Fraumünsterstrasse 7 Zürich	1921	45	index			True	Zürich
Tissage mécanique d'Etoffes de soie Tie and dress goods	1921	45	index				
Winterthur	1921	45	index			True	Winterthur
SILK (ARTIFICIAL) MANUFACTURERS	1921	45	index				
Aimée Carey	1921	45	index				
Jumelles 3 Lausanne	1921	45	index			True	Lausanne
SILK MERCHANTS	1921	45	index				
S. & J. Bloch Söhne & Co.	1921	45	index	True	S. & J. Bloch Söhne & Co.		
Zürich	1921	45	index			True	Zürich
F. Fankhauser & Co. Silks, spun, raw, dyed, etc. yarns	1921	45	index	True	F. Fankhauser & Co.		
Malzgasse 18 Basel	1921	45	index			True	Basel
J. Hopf & Co. Silk, raw, dress goods, spun etc. yarns	1921	45	index	True	J. Hopf & Co.		
Centralbahnstrasse 9 Basel	1921	45	index			True	Basel
J. Marx & Co., Ltd. Silk yarns	1921	45	index	True	J. Marx & Co., Ltd.		
Leimenstrasse 57 Basel	1921	45	index			True	Basel
Sandreuter & Co. Dress good, furnishing fabrics etc.	1921	45	index	True	Sandreuter & Co.		
Marktplatz Basel	1921	45	index			True	Basel
C. Wildberger Tie and dress goods	1921	45	index				
Glärnischstrasse 35 Zürich	1921	45	index			True	Zürich
