transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Address Trade and Name	True	Trade and Name	1921	23	index						
DYERS			1921	23	index	True	DYERS				
Burges, Ledward & Co., Ltd. Yarns silk and cotton			1921	23	index			True	Burges, Ledward & Co., Ltd.		
22, Dickinson Street Manchester			1921	23	index					True	Manchester
Färbereien Schetty A. G. Silks, pure, spun and artificial, cotton and ribbons			1921	23	index			True	Färbereien Schetty A. G		
Basel			1921	23	index					True	Basel
Färberei- und Appretur-Gesellschaft A. Clavel & F. Lindenmeyer			1921	23	index						
Gärtnerstrasse 22 Basel			1921	23	index					True	Basel
Gesellschaft für Verwertung von Abfällen Rags and waste			1921	23	index						
Birsfelden Basel			1921	23	index					True	Basel
Johannes Meyer & Co. Skein silks			1921	23	index			True	Johannes Meyer & Co.		
Limmatstrasse 152 Zürich			1921	23	index					True	Zürich
DYE STUFF MANUFACTURERS			1921	23	index	True	DYE STUFF MANUFACTURERS				
British Dye-stuffs Corporation			1921	23	index						
17, Kingsway London W. C. 2			1921	23	index					True	London
Chemische Fabrik vorm. Sandoz			1921	23	index						
Basel			1921	23	index					True	Basel
Clayton Aniline Co., Ltd.			1921	23	index			True	Clayton Aniline Co., Ltd.		
Ashton New Road Clayton, Manchester			1921	23	index					True	Manchester
Durand & Huguenin S. A.			1921	23	index						
Basel			1921	23	index					True	Basel
J. R. Geigy S. A.			1921	23	index						
Basel			1921	23	index					True	Basel
Society of Chemical Industry in Basle			1921	23	index					True	Basle
Basel			1921	23	index					True	Basel
ELECTRIC BATTERIES, ETC., MANU¬ FACTURERS OF			1921	23	index	True	ELECTRIC BATTERIES				
Leclanché & Co.			1921	23	index			True	Leclanché & Co.		
Yverdon			1921	23	index						
ELECTRIC FURNACES			1921	23	index	True	ELECTRIC FURNACES				
Usines Electro-Metallurgiques Météor S. A.			1921	23	index						
Case Fusterie 14,417 Genève			1921	23	index						
ELECTRIC METERS			1921	23	index	True	ELECTRIC METERS				
Landis & Gyr			1921	23	index						
Zug			1921	23	index					True	Zug
Société Genevoise d'Instruments de Physique			1921	23	index						
Rue des Vieux Grena¬ diers 8 Genève			1921	23	index						
ELECTRO PLATE			1921	23	index	True	ELECTRO PLATE				
Mappin & Web. Ltd.			1921	23	index			True	Mappin & Web. Ltd.		
Galerie St. François Lausanne			1921	23	index					True	Lausanne
