transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Trade and Name Address	True	Trade and Name	1921	22	index						
DESINFECTING APPARATUS			1921	22	index	True	DESINFECTING APPARATUS				
Sulzer Frères S. A.			1921	22	index			True	Sulzer Frères S. A.		
Winterthur			1921	22	index					True	Winterthur
DISINTEGRATORS (ELECTROLITIC)			1921	22	index	True	DISINTEGRATORS (ELECTROLITIC)				
Sauerstoff & Wasserstoff-Werk A. G.			1921	22	index			True	Sauerstoff & Wasserstoff-Werk A. G		
Luzern			1921	22	index					True	Luzern
DRAPERY MERCHANTS			1921	22	index	True	DRAPERY MERCHANTS				
Bigard Frères			1921	22	index			True	Bigard Frères		
Rue du Pont 21 Lausanne			1921	22	index					True	Lausanne
Bonnard & Cie.			1921	22	index						
Place St. François 14 Lausanne			1921	22	index					True	Lausanne
Conte & Co.			1921	22	index			True	Conte & Co.		
„Old England Genève			1921	22	index						
C. P. Coate			1921	22	index						
„Old England Lausanne			1921	22	index					True	Lausanne
H. de Groot			1921	22	index						
„Albion House“ Lausanne			1921	22	index					True	Lausanne
Gattiker & Steinmann Wholesale			1921	22	index						
Richterswil			1921	22	index					True	Richterswil
Higgins, Eagle & Co., Ltd. Wholesale			1921	22	index			True	Higgins, Eagle & Co., Ltd.		
4/6, Cannon Street London E. C. 4			1921	22	index					True	London
R. F. Kirkby			1921	22	index						
„London House Lausanne			1921	22	index					True	Lausanne
Maus Frères			1921	22	index			True	Maus Frères		
Genève¬			1921	22	index						
J. G. Weith			1921	22	index						
Bourg 27 Lausanne			1921	22	index					True	Lausanne
DRESSING-BAG MANUFACTURERS			1921	22	index	True	DRESSING-BAG MANUFACTURERS				
Mappin & Webb, Ltd.			1921	22	index			True	Mappin & Webb, Ltd.		
Galerie St. François Lausanne			1921	22	index					True	Lausanne
DRUG MANUFACTURERS			1921	22	index	True	DRUG MANUFACTURERS				
Chemische Fabrik Madoery			1921	22	index						
Leonhardstrasse 24 Basel			1921	22	index					True	Basel
Chemische Fabrik vorm. Sandoz			1921	22	index						
Basel			1921	22	index					True	Basel
Hoffmann-La Roche & Co.			1921	22	index			True	Hoffmann-La Roche & Co.		
Basel			1921	22	index					True	Basel
A. G. vorm. B. Siegfried			1921	22	index						
Zofingen			1921	22	index					True	Zofingen
DRYING PLANTS			1921	22	index	True	DRYING PLANTS				
Sulzer Frères S. A.			1921	22	index			True	Sulzer Frères S. A.		
Winterthur			1921	22	index					True	Winterthur
