transcription	company_found	company	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company_list_found	company_list
9 11 20 26 51 Sauerstoff & Wasserstoff-Werke A. G.	True	Sauerstoff & Wasserstoff-Werke A. G	True	Sauerstoff & Wasserstoff	True	9 11 20 26 51	1921	64	alphabetical		
10 35 45 47 Schenkel-Wyss, Fr.	True	Schenkel-Wyss, Fr	True	Schenkel	True	10 35 45 47	1921	64	alphabetical		
19 22 23 34 Schindler & Co.	True	Schindler & Co.	True	Schindler & Co	True	19 22 23 34	1921	64	alphabetical		
18 43 Schlatter, Max & Co.	True	Schlatter, Max & Co.	True	Schlatter, Max	True	18 43	1921	64	alphabetical		
Schmid, R. & Co.	True	Schmid, R. & Co.	True	Schmid, R.			1921	64	alphabetical		
Schwarz, Th. & Co.	True	Schwarz, Th. & Co.	True	Schwarz, Th			1921	64	alphabetical		
Schwarzenbach, Robert & Co.	True	Schwarzenbach, Robert & Co.	True	Schwarzenba			1921	64	alphabetical		
Schweizerische Bankgesellschaft (Union Bank of Switzerland).			True	Schweizeris			1921	64	alphabetical	True	Schweizerische Bankgesellschaft (Union Bank of Switzerland)
11 12 Schweizerischer Bankverein (Swiss Bank Corporation)			True	Schweizeris	True	11 12	1921	64	alphabetical	True	Schweizerischer Bankverein (Swiss Bank Corporation)
Schweizerische Rückversicherungsgesellschaft (Swiss Reinsurance Co.)	True	Schweizerische Rückversicherungsgesellschaft (Swiss Reinsurance Co.	True	Schweizeris			1921	64	alphabetical		
Schweizerische Seidengazefabrik A. G., Thal (Swiss Silk 12 Bolting Cloth Mog., Co., Ltd.)	True	Schweizerische Seidengazefabrik A. G	True	Schweizeris			1921	64	alphabetical	True	Schweizerische Seidengazefabrik A. G., Thal
Schweizerische Seidengazefabrik A. G., Zürich (Swiss 12 Silk Bolting Cloth Mrg, Co., Ltd.)	True	Schweizerische Seidengazefabrik A. G	True	Schweizeris			1921	64	alphabetical	True	Schweizerische Seidengazefabrik A. G., Zürich
Schweizerische Schleppschiffahrtgenossenschaft (Société 26 40 42 48 * * * Suisse de Remorquage			True	Schweizeris			1921	64	alphabetical		
Sedgley & Lighting			True	Sedgley & Lighting			1921	64	alphabetical		
Seidenwarenfabrik vorm. Edwin Naef			True	Seidenwaren			1921	64	alphabetical	True	Seidenwarenfabrik vorm. Edwin Naef
Seiler & Co., S. A.	True	Seiler & Co.	True	Seiler & Co			1921	64	alphabetical	True	Seiler & Co., S. A.
Senn & Co.	True	Senn & Co.	True	Senn & Co			1921	64	alphabetical		
Sidor S. A.			True	Sidor S. A.			1921	64	alphabetical		
Silk Ribbon Weavers Syndicate, Th.			True	Silk Ribbon			1921	64	alphabetical	True	Silk Ribbon Weavers Syndicate, Th.
Simonius, Vischer & Co.	True	Simonius, Vischer & Co.	True	Simonius, Vischer			1921	64	alphabetical		
10 30 34 38 45 47 Skipworth, G. P.			True	Skipworth, G. P.	True	10 30 34 38 45 47	1921	64	alphabetical		
Société anonyme des Aciéries ci-devant 14 19 51 Georges Fischer			True	Soci			1921	64	alphabetical		
33 34 36 49 Société anonyme Adolpe Saurer			True	Soci	True	33 34 36 49	1921	64	alphabetical	True	Société anonyme Adolpe Saurer
14 20 24 30 Société anonyme anct. B. Siegfried 12			True	Soci	True	14 20 24 30	1921	64	alphabetical	True	Société anonyme anct. B. Siegfried
Société de Banque Suisse			True	Soci			1921	64	alphabetical	True	Société de Banque Suisse
Société de la Feuille d'Avis de Lausanne 28			True	Soci	True	28	1921	64	alphabetical	True	Société de la Feuille d'Avis de Lausanne
Société des Hoteliers de Lausanne-Ouchy			True	Soci			1921	64	alphabetical	True	Société des Hoteliers de Lausanne-Ouchy
Société des Hotels Seiler			True	Soci			1921	64	alphabetical	True	Société des Hotels Seiler
21 29 30 34 40 Société Genevoise d'instruments de Physique			True	Soci	True	21 29 30 34 40	1921	64	alphabetical	True	Société Genevoise d'instruments de Physique
11 14 21 38 Society of Chemical Industry in Basle, The			True	Society	True	11 14 21 38	1921	64	alphabetical	True	Society of Chemical Industry in Basle, The
„Standard" Lack- und Farben-Werke („Standard" Lack 16 23 30 37 49 & Varnish Works)			True	Standard			1921	64	alphabetical		
