transcription	headline_found	headline	year	page	range_definition	location_found	location	company_found	company	title_found	title
Trade and Name Address	True	Trade and Name	1921	36	index						
Robert Hall & Sons (Bury) Ltd. Textile and weaving machinery			1921	36	index	True	Bury	True	Robert Hall & Sons (Bury) Ltd.		
Bury England			1921	36	index	True	Bury				
Landis & Gyr Electric Meters			1921	36	index						
Zug			1921	36	index	True	Zug				
			1921	36	index						
Paillard & Benoit Chocolate, cocoa and confectionery¬ making machinery			1921	36	index						
Rue du Midi 2 Lausanne			1921	36	index	True	Lausanne				
Adolphe Saurer S. A. Embroidery machines and ribbon looms			1921	36	index						
Arbon			1921	36	index						
Schindler & Co. Electro-motors and electrical appa¬ ratis, lifts, cranes, etc.			1921	36	index			True	Schindler & Co.		
Luzern			1921	36	index	True	Luzern				
Société Genevoise d'Instruments de Physique Freezing and refrigerating plants, electric meters, etc.			1921	36	index						
Rue des Vieux Grena¬ diers 8 Genève			1921	36	index						
Sulzer Frères S. A. All classes heavy machinery, see under headings			1921	36	index			True	Sulzer Frères S. A.		
Winterthur			1921	36	index	True	Winterthur				
Winkler, Fallert & Co. S. A. Printing Machinery, all kinds			1921	36	index			True	Winkler, Fallert & Co. S. A.		
Bern			1921	36	index	True	Bern				
MACHINERY MERCHANTS			1921	36	index					True	MACHINERY MERCHANTS
The Clarendon Manufacturing and Engi¬ neering Co. Ltd.			1921	36	index			True	The Clarendon Manufacturing and Engi¬ neering Co.		
20, Copthall Avenue London E. C. 2			1921	36	index	True	London				
Goodbehere Bros. Textile Machinery			1921	36	index						
Birsigstrasse 82 Basel			1921	36	index	True	Basel				
Robert Hibbert Textile machinery			1921	36	index						
Holbeinstrasse 56 Basel			1921	36	index	True	Basel				
Meister Brothers & Co. General			1921	36	index			True	Meister Brothers & Co.		
P. O. Box 17062 Basel			1921	36	index	True	Basel				
Hans Müller Importer			1921	36	index						
St. Gallen			1921	36	index						
G. P. Skipworth Importer			1921	36	index						
Gutenbergstrasse 1 Bern			1921	36	index	True	Bern				
MATTINGS, DEALERS IN			1921	36	index					True	MATTINGS
Sandreuter & Co.			1921	36	index			True	Sandreuter & Co.		
Marktplatz Basel			1921	36	index	True	Basel				
