transcription	company_list_found	company_list	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company_found	company
Kohler, L 12 30 44	True	Kohler, L	True	Kohler	True	12 30 44	1921	62	alphabetical		
Kreis & Schlafli 25			True	Kreis & Schlafli	True	25	1921	62	alphabetical		
Kriesener & Co. 22 2732			True	Kriesener & Co	True	22 2732	1921	62	alphabetical	True	Kriesener & Co.
Kuffer & Scott 18 22 32 33 43 49			True	Kuffer & Scott	True	18 22 32 33 43 49	1921	62	alphabetical		
Labhard & Co. 2232			True	Labhard & Co	True	2232	1921	62	alphabetical	True	Labhard & Co.
Lacey, A. & Co., Ltd. 16 31 44 47			True	Lacey, A.	True	16 31 44 47	1921	62	alphabetical	True	Lacey, A. & Co., Ltd.
Lambercier & Cie.			True	Lambercier & Cie			1921	62	alphabetical		
21 34 Landis & Gyr S. A.	True	Landis & Gyr S. A.	True	Landis & Gyr	True	21 34	1921	62	alphabetical		
Langley London 24 29			True	Langley London	True	24 29	1921	62	alphabetical		
Lausanne-Palace Hotel, Lausanne 28	True	Lausanne-Palace Hotel, Lausanne	True	Lausanne	True	28	1921	62	alphabetical		
2138 Leclanché S. A.	True	Leclanché S. A.	True	Leclanch	True	2138	1921	62	alphabetical		
42 50 Lep Transport & Depository Ltd.			True	Lep Transport	True	42 50	1921	62	alphabetical	True	Lep Transport & Depository Ltd.
Liechti, J. G. & Co. 37 44			True	Liechti, J. G.	True	37 44	1921	62	alphabetical	True	Liechti, J. G. & Co.
18 50 Livesey, James, Ltd.			True	Livesey, James	True	18 50	1921	62	alphabetical	True	Livesey, James, Ltd.
Lloyds & National Provincial Foreign Bank Ltd.	True	Lloyds & National Provincial Foreign Bank Ltd.	True	Lloyds & National			1921	62	alphabetical	True	Provincial Foreign Bank Ltd.
Lomas, J. M.			True	Lomas, J. M.			1921	62	alphabetical		
48 Lunn, Sir Henry	True	Lunn, Sir Henry	True	Lunn, Sir	True	48	1921	62	alphabetical		
Mahler & Sichel 49 50 52			True	Mahler & Sichel	True	49 50 52	1921	62	alphabetical		
Maillefer, Les Fils d'Auguste 19	True	Maillefer, Les Fils d'Auguste	True	Maillefer, Les	True	19	1921	62	alphabetical		
Mappin & Webb 19 20 21 27 31 32 44 51			True	Mappin & Webb	True	19 20 21 27 31 32 44 51	1921	62	alphabetical		
Marland Spinning Co., (1912) Ltd. 1852			True	Marland Spinning	True	1852	1921	62	alphabetical	True	Marland Spinning Co., (1912) Ltd.
Marti. W.	True	Marti. W.	True	Marti			1921	62	alphabetical		
Marx & Co., A. G. 43 44			True	Marx & Co	True	43 44	1921	62	alphabetical	True	Marx & Co., A. G
Mather, Walter 18 22 36 50			True	Mather, Walter	True	18 22 36 50	1921	62	alphabetical		
Maus Frères 20 33			True	Maus Fr	True	20 33	1921	62	alphabetical	True	Maus Frères
Meister Brothers & Co. 34 35 47			True	Meister Brothers	True	34 35 47	1921	62	alphabetical	True	Meister Brothers & Co.
1018 Merkle & Cie.			True	Merkle & Cie	True	1018	1921	62	alphabetical		
Meyer, Johannes & Co. 21			True	Meyer, Johannes	True	21	1921	62	alphabetical	True	Meyer, Johannes & Co.
Michaud, Georges 224 26 32 37			True	Michaud, Georges	True	224 26 32 37	1921	62	alphabetical		
Milca Alpina S. A. 25 35	True	Milca Alpina S. A.	True	Milca Alpina	True	25 35	1921	62	alphabetical		
Motosacoche S. A.			True	Motosacoche S. A.			1921	62	alphabetical		
Mühlethaler, Th., S. A. 14 38	True	Mühlethaler, Th., S. A.	True	Th	True	14 38	1921	62	alphabetical		
Müller, Hans 16 24 26 30 34 37	True	Müller, Hans	True	Hans	True	16 24 26 30 34 37	1921	62	alphabetical		
