transcription	year	page	range_definition	company_found	company	location_found	location
Address Trade and Name	1921	15	index				
BOOKING OFFICES	1921	15	index				
Cunard Steamship Co., Ltd	1921	15	index	True	Cunard Steamship Co.		
Haldenstrasse 5 Luzern	1921	15	index				
Galland & Cie.	1921	15	index				
Place St. François 3 Lausanne	1921	15	index			True	Lausanne
BOOK-BINDERS	1921	15	index				
Gasser & Cie.	1921	15	index				
Untere Rheingasse 19 Basel	1921	15	index			True	Basel
BOOKSELLERS	1921	15	index				
Théodore Roussy	1921	15	index				
Rue de Bourg 3 Lausanne	1921	15	index			True	Lausanne
BONES, DEALERS IN	1921	15	index				
The Weddel Beef Co.	1921	15	index	True	The Weddel Beef Co.		
Rue du Port 11 Genève	1921	15	index				
BOOT & SHE MANUFACTURERS	1921	15	index				
C. F. Bally A. G.	1921	15	index	True	C. F. Bally A. G		
Schönenwerd	1921	15	index				
BOX MANUFACTURERS	1921	15	index				
Barringer, Wallis & Manners Tin, other metals and fancy	1921	15	index				
Mansfield	1921	15	index			True	Mansfield
BUILDING MATERIALS	1921	15	index				
Gétaz, Romang, Ecoffey Importers and merchants, manufacturers of cement pipes etc.	1921	15	index				
Lausanne & Vevey	1921	15	index			True	Vevey
CALCULATING MACHINES	1921	15	index				
H. W. Egli S. A.	1921	15	index				
Albisstrasse 2 Zürich	1921	15	index				
CANNED GOODS	1921	15	index				
Conserven-Fabrik Seethal	1921	15	index				
Seon	1921	15	index				
CARPET MERCHANTS	1921	15	index				
Sandreuter & Co.	1921	15	index	True	Sandreuter & Co.		
Marktplatz Basel	1921	15	index			True	Basel
CARTAGE CONTRACTORS	1921	15	index				
Perrin & Cie.	1921	15	index				
Place de la Gare Lausanne	1921	15	index			True	Lausanne
