transcription	year	page	range_definition	company_found	company	location_found	location
Address Trade and Name	1921	25	index				
Obrist & Co. Fancy goods and general	1921	25	index	True	Obrist & Co.		
St. Gallen	1921	25	index				
Walter Preisig	1921	25	index				
Teufen bei St. Gallen	1921	25	index				
Reichenbach & Co.	1921	25	index	True	Reichenbach & Co.		
St. Gallen	1921	25	index				
Union A. G. vorm. Hoffmann & Co. Fancy goods and general	1921	25	index	True	Union A. G. vorm. Hoffmann & Co.		
St. Gallen	1921	25	index				
P. K. Wilson & Son Fancy and piece goods	1921	25	index				
St. Gallen	1921	25	index				
Wirth & Co. Fancy and piece goods	1921	25	index	True	Wirth & Co.		
Bühler bei St. Gallen	1921	25	index				
Zuberbühler & Co., A. G. Fancy goods, hand and machine, piece goods	1921	25	index	True	Zuberbühler & Co., A. G		
Zurzach	1921	25	index				
Zürcher Bros. & Co.	1921	25	index	True	Zürcher Bros. & Co.		
Teufen bei St. Gallen	1921	25	index				
ENAMELS, MANUFACTURERS OF	1921	25	index				
Blundell, Spence & Co.	1921	25	index	True	Blundell, Spence & Co.		
Hull	1921	25	index			True	Hull
Standard Lack- und Farbenwerke	1921	25	index				
Altstetten bei Zürich	1921	25	index			True	Zürich
ENGINEERS, MANUFACTURING	1921	25	index				
A. C. M. E. (Ateliers de construction mécaniques de Lausanne)	1921	25	index				
Lausanne	1921	25	index			True	Lausanne
Calorie S. A.	1921	25	index				
Rue de l'Est 57 Genève	1921	25	index				
Clarendon Manufacturing and Engineering Co., Ltd.	1921	25	index	True	Clarendon Manufacturing and Engineering Co.		
20, Copthall Avenue London E. C. 2	1921	25	index			True	London
Schindler & Co.	1921	25	index	True	Schindler & Co.		
Luzern	1921	25	index				
Sulzer Frères S. A.	1921	25	index	True	Sulzer Frères S. A.		
Winterthur	1921	25	index			True	Winterthur
Vickers Agency Co., for Switzerland Ltd.	1921	25	index	True	Vickers Agency Co.		
Place Neuve 2 Genève	1921	25	index				
ENGINES (STEAM MARINE AND STATIONARY)	1921	25	index				
Sulzer Frères S. A.	1921	25	index	True	Sulzer Frères S. A.		
Winterthur	1921	25	index			True	Winterthur
EXPORTERS	1921	25	index				
J. Allaman & Co. Textiles	1921	25	index	True	J. Allaman & Co.		
Güttingen	1921	25	index				
J. Fankhauser & Co. Silks, pure and artificial all kinds	1921	25	index	True	J. Fankhauser & Co.		
Malzgasse 18 Basel	1921	25	index			True	Basel
