transcription	headline_found	headline	year	page	range_definition	location_found	location	company_found	company	title_found	title	address_found	address
Trade and Name Address	True	Trade and Name	1921	33	index								
Perrin & Cie.			1921	33	index								
Place de la Gare Lausanne			1921	33	index	True	Lausanne						
Reinhart & Co.			1921	33	index			True	Reinhart & Co.				
Rue Adib 7 Alexandria, Egypt			1921	33	index	True	Alexandria						
IRON FOUNDERS			1921	33	index					True	IRON FOUNDERS		
Gesellschaft der L. von Roll'schen Eisenwerke			1921	33	index								
Gerlafingen			1921	33	index								
Usines Electro-Metallurgique Météor S.A.			1921	33	index								
Case Fusterie 14,417 Genève			1921	33	index								
IRON MERCHANTS			1921	33	index					True	IRON MERCHANTS		
Getaz, Romang, Ecoffey S. A.			1921	33	index								
Vevey			1921	33	index	True	Vevey						
Joos & Cie.			1921	33	index								
Spalenvorstadt 22 Basel			1921	33	index	True	Basel						
A. Lacey & Co., Ltd.			1921	33	index			True	A. Lacey & Co., Ltd.				
Hull			1921	33	index	True	Hull						
JAM MANUFACTURERS			1921	33	index					True	JAM MANUFACTURERS		
Conservenfabrik Seethal			1921	33	index	True	Seethal						
Sen			1921	33	index								
JEWELS (WATCH & INDUSTRIAL)			1921	33	index					True	JEWELS (WATCH		
Ehrmann & Co.			1921	33	index			True	Ehrmann & Co.				
20, Holborn Viaduct London, E. C. 1			1921	33	index	True	London					True	20, Holborn Viaduct London
Swiss Jewel Co. S.A.			1921	33	index			True	Swiss Jewel Co.				
Locarno			1921	33	index								
JEWERY MANUFACTURERS			1921	33	index					True	JEWERY MANUFACTURERS		
Golay Sons & Stahl Ltd. Enamels, etc.			1921	33	index			True	Golay Sons & Stahl Ltd.				
Quai des Bergues 31 Genève			1921	33	index								
Junod Frères			1921	33	index			True	Junod Frères				
Lausanne			1921	33	index	True	Lausanne						
Mappin & Webb Ltd.			1921	33	index			True	Mappin & Webb Ltd.				
Galerie St. François Lausanne			1921	33	index	True	Lausanne						
KNITTED GOODS			1921	33	index					True	KNITTED GOODS		
Aimée Carey			1921	33	index								
Jumelles 3 Lausanne			1921	33	index	True	Lausanne						
KNITTING MACHINES, MANUFACTURERS OF			1921	33	index					True	KNITTING MACHINES		
Edouard Dubied & Cie. S. A. Hand and power			1921	33	index								
Neuchâtel			1921	33	index								
LACE MANUFACTURERS			1921	33	index					True	LACE MANUFACTURERS		
Arbon Embroidery works Ltd.			1921	33	index			True	Arbon Embroidery works Ltd.				
Arbon			1921	33	index								
Thomas Adams Ltd.			1921	33	index			True	Thomas Adams Ltd.				
Nottingham			1921	33	index	True	Nottingham						
