transcription	year	page	range_definition	location_found	location	company_found	company
Trade and Name Address	1921	32	index				
Hans Müller Coal, ils, machinery, etc. from U.K.	1921	32	index				
St. Gallen	1921	32	index				
A. G. vorm. B. Siegfried Drugs and sundries	1921	32	index				
Zofingen	1921	32	index	True	Zofingen		
G. P. Skipworth Machinery	1921	32	index				
Gutenbergstrasse 1 Basel	1921	32	index	True	Basel		
Teaplanters Ltd. Tea	1921	32	index			True	Teaplanters Ltd.
Thiersteinerallee 24 Basel	1921	32	index	True	Basel		
INKS (PRINTING) MANUFACTURERS OF	1921	32	index				
Standard Lack- & Farben-Werke	1921	32	index				
Altstetten bei Zürich	1921	32	index	True	Zürich		
INLAID LINOLEUMS, DEALERS IN	1921	32	index				
Sandreuter & Co.	1921	32	index			True	Sandreuter & Co.
Marktplatz Basel	1921	32	index	True	Basel		
INFORMATION BUREAUX	1921	32	index				
Herren & Guerchet	1921	32	index				
Rue Jean Petitot 10 Genève	1921	32	index				
Louis Kohler	1921	32	index				
11, St. Pierre Lausanne	1921	32	index	True	Lausanne		
INSTRUMENTS (SCIENTIFIC)	1921	32	index				
Henry Baer & Co. For testing textile machinery	1921	32	index			True	Henry Baer & Co.
Elisabethenstrasse 12 Zürich	1921	32	index	True	Zürich		
Dennison Watch Case Co. Ltd. Instrument cases	1921	32	index			True	Dennison Watch Case Co. Ltd.
Villa Road, Handworth Birmingham	1921	32	index	True	Birmingham		
Société Genevoise d'Instruments de Physique	1921	32	index				
Rue des Vieux Grena¬ diers 8 Genève	1921	32	index				
INSURANCE AGENTS & BROKERS	1921	32	index				
Basler Lagerhausgesellschaft	1921	32	index				
Erlenstrasse 1 Basel	1921	32	index	True	Basel		
Crow & Co., Ltd.	1921	32	index			True	Crow & Co., Ltd.
Langegasse 9 Basel	1921	32	index	True	Basel		
Galland & Cie.	1921	32	index				
Place St. François 3 Lausanne	1921	32	index	True	Lausanne		
Goth & Co.	1921	32	index			True	Goth & Co.
Elisabethenstrasse 45 Basel	1921	32	index	True	Basel		
J. G. Hallett	1921	32	index				
Avenue Rumine 55 Lausanne	1921	32	index	True	Lausanne		
