transcription	headline_found	headline	year	page	range_definition	company_found	company	location_found	location	title_found	title	address_list_found	address_list_item
Trade and Name Address	True	Trade and Name	1921	42	index								
Goth & Co.			1921	42	index	True	Goth & Co.						
Elisabethenstrasse 45 Basel			1921	42	index			True	Basel				
Charles im Obersteg & Co.			1921	42	index	True	Charles im Obersteg & Co.						
Aeschengraben 30 Basel			1921	42	index			True	Basel				
Jacky, Maeder & Co.			1921	42	index	True	Jacky, Maeder & Co.						
Basel			1921	42	index			True	Basel				
Perrin & Cie.			1921	42	index								
Place de la Gare Lausanne			1921	42	index			True	Lausanne				
RAILAY LOCOMOTIVES			1921	42	index					True	RAILAY LOCOMOTIVES		
Sulzer Frères S. A.			1921	42	index	True	Sulzer Frères S. A.						
Winterthur			1921	42	index			True	Winterthur				
RAMIE MERCHANTS			1921	42	index					True	RAMIE MERCHANTS		
J. Hopf & Co.			1921	42	index	True	J. Hopf & Co.						
Centralbahnstrasse 9 Basel			1921	42	index			True	Basel				
REFRIGERATOR MANUFACTURERS			1921	42	index					True	REFRIGERATOR MANUFACTURERS		
Société Genevoise d'Instruments de Physique			1921	42	index								
Rue des Vieux Grena¬ diers 8 Genève			1921	42	index								
Sulzer Frères S. A.			1921	42	index	True	Sulzer Frères S. A.						
Winterthur			1921	42	index			True	Winterthur				
REPRESENTATIVES OF BRITISH DOMINIONS			1921	42	index					True	REPRESENTATIVES OF BRITISH DOMINIONS		
The High Commissioner for South Africa			1921	42	index								
Trafalgar Square London W. C. 2.			1921	42	index			True	London			True	Trafalgar Square
REINSURANCE COMPANIES			1921	42	index					True	REINSURANCE COMPANIES		
Schweiz. Rückversicherungsgesellschaft			1921	42	index								
Zürich			1921	42	index			True	Zürich				
REMOVAL CONTRACTORS			1921	42	index					True	REMOVAL CONTRACTORS		
Perrin & Cie.			1921	42	index								
Place de la Gare Lausanne			1921	42	index			True	Lausanne				
RHINE NAVIGATION			1921	42	index					True	RHINE NAVIGATION		
Schw. Schleppschiffahrtgenossenschaft			1921	42	index								
Blumenrain 16 Basel			1921	42	index			True	Basel				
RIBBON MANUFACTURERS			1921	42	index					True	RIBBON MANUFACTURERS		
J. Babel & Co.			1921	42	index	True	J. Babel & Co.						
Place Longuemalle 1 Genève			1921	42	index								
Burckhardt & Co.			1921	42	index	True	Burckhardt & Co.						
St. Albangraben 14 Basel			1921	42	index			True	Basel				
De Bary & Co.			1921	42	index	True	De Bary & Co.						
Augustinergasse 1/3 Basel			1921	42	index			True	Basel				
