transcription	headline_found	headline	year	page	range_definition	company_found	company	location_found	location	title_found	title
Trade and Name Address	True	Trade and Name	1921	51	index						
Handschin & Ronus Knitted and woven, ladies children's			1921	51	index						
Liestal			1921	51	index						
His & Co., A. G. Ribbed			1921	51	index	True	His & Co., A. G				
Murgenthal			1921	51	index						
Hochuli & Co. Ribbed			1921	51	index	True	Hochuli & Co.				
Safenwil Aargau			1921	51	index						
Kuffer & Scott Woven, ladies, children's and men's			1921	51	index						
Neuchâtel			1921	51	index						
Ruegger & Co. Knitted and woven, ladies, children's and men's			1921	51	index	True	Ruegger & Co.				
Zofingen			1921	51	index			True	Zofingen		
Ryff & Co., S. A. Knitted and woven, ladies, children's and men's, wool, silk and mixture			1921	51	index	True	Ryff & Co.				
Sandrainstrasse 3 Bern			1921	51	index			True	Bern		
VARNISH MANUFACTURERS			1921	51	index					True	VARNISH MANUFACTURERS
Blundell, Spence & Co., Ltd.			1921	51	index	True	Blundell, Spence & Co., Ltd.				
Hull			1921	51	index			True	Hull		
Standard Lack- und Farbenwerke			1921	51	index						
Altstetten bei Zürich			1921	51	index			True	Zürich		
VERICLES (COMMERCIAL)			1921	51	index					True	VERICLES (COMMERCIAL)
„Berna“ Lorries Ltd.			1921	51	index	True	„Berna“ Lorries Ltd.	True	Bern		
Olten			1921	51	index			True	Olten		
Adolphe Saurer S. A.			1921	51	index						
Arbon			1921	51	index						
VENTILATIONS PLANTS			1921	51	index					True	VENTILATIONS PLANTS
„Calorie“ S. A.			1921	51	index						
Rue de l'Est 7 Genève			1921	51	index						
Sulzer Frères S. A.			1921	51	index	True	Sulzer Frères S. A.				
Winterthur			1921	51	index			True	Winterthur		
VEIL MANUFACTURERS			1921	51	index					True	VEIL MANUFACTURERS
Thomas Adams Ltd.			1921	51	index	True	Thomas Adams Ltd.				
Nottingham			1921	51	index			True	Nottingham		
Mahler & Sichel			1921	51	index						
Bradford			1921	51	index			True	Bradford		
A. C. Pearse & Co., Ltd.			1921	51	index	True	A. C. Pearse & Co., Ltd.				
14, Pilcher Gate Nottigham			1921	51	index						
VOILE MANUFACTURERS			1921	51	index					True	VOILE MANUFACTURERS
C. F. Burditt & Co.			1921	51	index	True	C. F. Burditt & Co.				
22, Lloyds Street Manchester			1921	51	index			True	Manchester		
