transcription	year	page	range_definition	company_found	company	location_found	location
Trade and Name Address	1921	48	index				
TEA MERCHANTS	1921	48	index				
W. H. Dixon	1921	48	index				
Rue Tour de l'Ile 4 Genève	1921	48	index				
Teaplanters Ltd.	1921	48	index	True	Teaplanters Ltd.		
Thiersteinerallee 24 Basel	1921	48	index			True	Basel
TEXTILE MANUFACTURERS	1921	48	index				
Thomas Adams Ltd.	1921	48	index	True	Thomas Adams Ltd.		
Nottingham	1921	48	index			True	Nottingham
A. S. Henry & Co.	1921	48	index	True	A. S. Henry & Co.		
Bradford	1921	48	index			True	Bradford
W. Hollins & Co. Flannels & Flanelettes	1921	48	index	True	W. Hollins & Co.		
Bahnhofstrasse 31 Zürich	1921	48	index			True	Zürich
James Porteous & Co., Ltd. Scotch Tweeds	1921	48	index	True	James Porteous & Co., Ltd.		
Alva, Scotland	1921	48	index				
TEXTILE AGENTS	1921	48	index				
Agency for British Trade	1921	48	index				
Sonnenquai 1 Zürich	1921	48	index			True	Zürich
D. Barnett	1921	48	index				
Rue de Malagnou 15 Genève	1921	48	index				
Evans-Meride Ltd.	1921	48	index	True	Evans-Meride Ltd.		
207, St. James Buildings Montreal	1921	48	index				
F. Fankhauser & Co.	1921	48	index	True	F. Fankhauser & Co.		
Malzgasse 18 Basel	1921	48	index			True	Basel
Gattiker & Steinmann	1921	48	index				
Richterswil	1921	48	index			True	Richterswil
Geering & Co. Cotton thread	1921	48	index	True	Geering & Co.		
Basel	1921	48	index			True	Basel
E. A. Keller & Co. A. G.	1921	48	index	True	E. A. Keller & Co. A. G		
Bahnhofstrasse 33 Zürich	1921	48	index			True	Zürich
Woollens Ltd.	1921	48	index	True	Woollens Ltd.		
9/10 Golden House Great Pulteney Street London W. I.	1921	48	index			True	London
TIN MERCHANTS	1921	48	index				
O. Jaeger	1921	48	index				
Bahnhofstrasse 30 Zürich	1921	48	index			True	Zürich
TIN FOIL AND TIN TUBES	1921	48	index				
Venesta Ltd.	1921	48	index	True	Venesta Ltd.		
Great Tower Street London, E. C.	1921	48	index				
TIN PLATES	1921	48	index				
Carl Geissler S. A.	1921	48	index				
Basel	1921	48	index			True	Basel
