transcription	heading_found	heading	company_found	company	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company_list_found	company_list
Page Beacon Spinning Co., Ltd., The 52	True	Page	True	Page Beacon Spinning Co., Ltd.	True	Page Beacon	True	52	1921	58	alphabetical		
„Berna“ Lorries Ltd. 11 25 33 36 37 39 47 48 49			True	Berna“ Lorries Ltd.	True	Berna	True	11 25 33 36 37 39 47 48 49	1921	58	alphabetical		
Bigard Frères 15 20			True	Bigard Frères	True	Bigard Fr	True	15 20	1921	58	alphabetical		
Blanc & Berlinger. 22 27					True	Blanc & Berlinger	True	22 27	1921	58	alphabetical	True	Blanc & Berlinger
Bloch Söhne, S. & J. & Co.			True	Bloch Söhne, S. & J. & Co.	True	Bloch			1921	58	alphabetical		
Blum-Schwob, J. & Cie. 50			True	Blum-Schwob, J	True	Blum	True	50	1921	58	alphabetical	True	Blum-Schwob, J. & Cie.
Blundell, Spence & Co., Ltd. 16 23 37 44			True	Blundell, Spence & Co., Ltd.	True	Blundell, Spence	True	16 23 37 44	1921	58	alphabetical		
Bonnard Frères. 15 20 37			True	Bonnard Frères	True	Bonnard Fr	True	15 20 37	1921	58	alphabetical		
Bornand Frères & Co. 15 29			True	Bornand Frères & Co.	True	Bornand Fr	True	15 29	1921	58	alphabetical		
Borloz, Louis.					True	Borloz, Louis			1921	58	alphabetical		
British-American Tobacco Co., Ltd., ion Suisse) 14			True	British-American Tobacco Co., Ltd.	True	British	True	14	1921	58	alphabetical		
British Dye-stuffs Corporation Ltd. 21			True	British Dye-stuffs Corporation Ltd.	True	British Dye	True	21	1921	58	alphabetical		
Bücheler & Co. . 1722			True	Bücheler & Co.	True	Co	True	1722	1921	58	alphabetical		
Burckhardt & Co.			True	Burckhardt & Co.	True	Burckhardt & Co			1921	58	alphabetical		
Burditt, C. F. & Co. 17 32 36 49			True	Burditt, C. F. & Co.	True	Burditt, C. F.	True	17 32 36 49	1921	58	alphabetical		
Burgess, Ledward & Co., Ltd. 1721			True	Burgess, Ledward & Co., Ltd.	True	Burgess, Ledward	True	1721	1921	58	alphabetical		
Buser & Keiser & Co. 27 43 48			True	Buser & Keiser & Co.	True	Buser & Keiser	True	27 43 48	1921	58	alphabetical		
Calico Printers Association Ltd., The 17 39			True	Calico Printers Association Ltd.	True	Calico Printers	True	17 39	1921	58	alphabetical		
Callias, A. H. 1626					True	Callias, A. H.	True	1626	1921	58	alphabetical		
„Calorie“ S. A. 23 25 27					True	Calorie	True	23 25 27	1921	58	alphabetical	True	„Calorie“ S. A.
Cann, Harry Graham 1642					True	Cann, Harry	True	1642	1921	58	alphabetical	True	Cann, Harry Graham
Carey. Aimée. 15 31 43					True	Carey	True	15 31 43	1921	58	alphabetical	True	Carey. Aimée.
Chemische Fabrik Madoery 1420					True	Chemische Fabrik	True	1420	1921	58	alphabetical	True	Chemische Fabrik Madoery
Chemische Fabrik vorm. Sandoz 11 14 20 2 3					True	Chemische Fabrik	True	11 14 20 2 3	1921	58	alphabetical	True	Chemische Fabrik vorm. Sandoz
Chillon College					True	Chillon College			1921	58	alphabetical		
Church Street Manufacturing Co., Ltd., The 17 2736			True	Church Street Manufacturing Co.	True	Church Street	True	17 2736	1921	58	alphabetical	True	Church Street Manufacturing Co., Ltd., The
Clarendon Manufacturing and Engineering Co., Ltd., The 9 23 29 34			True	Clarendon Manufacturing and Engineering Co.	True	Clarendon Manufacturi	True	9 23 29 34	1921	58	alphabetical	True	Clarendon Manufacturing and Engineering Co., Ltd., The
Clayton Aniline Co., Ltd., The 11 14 21 38			True	Clayton Aniline Co., Ltd.	True	Clayton Aniline	True	11 14 21 38	1921	58	alphabetical	True	Clayton Aniline Co., Ltd., The
Coal Supply Co., Ltd. The			True	Coal Supply Co., Ltd.	True	Coal Supply			1921	58	alphabetical	True	Coal Supply Co., Ltd. The
Coate & Co. 15 20 28 37 45			True	Coate & Co.	True	Coate & Co	True	15 20 28 37 45	1921	58	alphabetical		
Comptoir d'Escompte de Genève					True	Comptoir			1921	58	alphabetical	True	Comptoir d'Escompte de Genève
Comptoir de Commission, S. A.					True	Comptoir			1921	58	alphabetical	True	Comptoir de Commission, S. A.
Conserven-Fabrik Seethal 13 31 35					True	Conserven	True	13 31 35	1921	58	alphabetical	True	Conserven-Fabrik Seethal
Cottier, H. 52					True	Cottier, H.	True	52	1921	58	alphabetical		
