transcription	company_found	company	company2_found	company2	year	page	range_definition	page_numbers_found	page_numbers	company3_found	company3	company_list_found	company_list
Næf (E.) (Seidenwarenfabrik vorm.) A.-G.	True	Næf (E.)	True	Seidenwaren	1935	7	alphabetical						
Nestlé and Anglo-Swiss Condensed Milk Co. 21, 24	True	Nestlé and Anglo-Swiss Condensed Milk Co.	True	Nestl	1935	7	alphabetical	True	21, 24				
17, 21 Northern Assurance Co., Ltd.	True	Northern Assurance Co., Ltd.	True	Northern Assurance	1935	7	alphabetical	True	17, 21				
25, 28, North British Rubber Co. (Continental) Ltd. 29, 31, 32, 36, 37	True	North British Rubber Co.	True	North British	1935	7	alphabetical	True	25, 28	True	Rubber Co. (Continental) Ltd.		
12, 23, 25 Nova Knitting Works, Siegrist & Co.	True	Nova Knitting Works, Siegrist & Co.	True	Nova Knitting	1935	7	alphabetical	True	12, 23, 25				
37 Omega Watch Co., Louis Brandt & Frère, S. A.	True	Omega Watch Co., Louis Brandt & Frère	True	Omega Watch	1935	7	alphabetical	True	37			True	Omega Watch Co., Louis Brandt & Frère, S. A.
Peek Bros. & Winch Ltd. 12, 32	True	Peek Bros. & Winch Ltd.	True	Peek Bros	1935	7	alphabetical	True	12, 32				
Radio-Suisse, Société anonyme	True	Radio-Suisse, Soc	True	Radio	1935	7	alphabetical						
Rayon, Ltd.	True	Rayon, Ltd.	True	Rayon, Ltd	1935	7	alphabetical						
Rothlisberger & Son			True	Rothlisberg	1935	7	alphabetical						
Ryff & Co., Ltd. « Swan » Knitting Works	True	Ryff & Co., Ltd.	True	Ryff & Co	1935	7	alphabetical						
8. 11, 14, 26 Sandoz, Chemische Fabrik vorm., Basle			True	Sandoz, Chemische	1935	7	alphabetical	True	8				
Sando Chemical Co, Ltd., Bradford.	True	Sando Chemical Co, Ltd.	True	Sando Chemical	1935	7	alphabetical						
21, 24. Sandreuter & Co., . . . .	True	Sandreuter & Co.	True	Sandreuter & Co	1935	7	alphabetical	True	21, 24				
Saurer (Adolphe) S. A.	True	Saurer (Adolphe)	True	Saurer (Adolphe)	1935	7	alphabetical			True	Saurer (Adolphe) S. A.		
13. Sauter (Fritz) A.-G.			True	Sauter (Fritz)	1935	7	alphabetical	True	13	True	Sauter (Fritz)		
Seiler & Co., A.-G.	True	Seiler & Co.	True	Seiler & Co	1935	7	alphabetical						
Senn & Co., Ltd.	True	Senn & Co., Ltd.	True	Senn & Co	1935	7	alphabetical						
Siegfried (B) Aktiengesellschaft vorm. 11, 14, 16.			True	Siegfried	1935	7	alphabetical					True	Siegfried (B) Aktiengesellschaft vorm.
Siegrist (Gebrüder) & Co.	True	Siegrist (Gebrüder) &	True	Siegrist	1935	7	alphabetical			True	Siegrist (Gebrüder) & Co.		
Simonius, Vischer & Co.	True	Simonius, Vischer & Co.	True	Simonius, Vischer	1935	7	alphabetical						
Soc. An. des Aciéries ci-devant Georges Fischer 18, 22, 24, 33			True	Soc	1935	7	alphabetical	True	18, 22, 24, 33				
24 Société Genevoise d'Instruments de Physique			True	Soci	1935	7	alphabetical	True	24			True	Société Genevoise d'Instruments de Physique
8, 11, 14, 15 Society of Chemical Industry in Basle			True	Society	1935	7	alphabetical	True	8, 11, 14, 15			True	Society of Chemical Industry in Basle
Société industrielle pour la Schappe.			True	Soci	1935	7	alphabetical						
South African Legation, Rome			True	South African	1935	7	alphabetical						
Spiro (J.)			True	Spiro	1935	7	alphabetical			True	Spiro (J.)		
Standard Marine Insurance Co., Ltd.	True	Standard Marine Insurance Co., Ltd.	True	Standard Marine	1935	7	alphabetical						
Staub (H.) & Cie.	True	Staub (H.) &	True	Staub	1935	7	alphabetical			True	Staub (H.) & Cie.		
Still (W. M.) & Sons, Ltd.	True	Still (W. M.) & Sons	True	Still	1935	7	alphabetical			True	Still (W. M.) & Son	True	Still (W. M.) & Sons, Ltd.
« Sunlight » Soup Works			True	Sunlight	1935	7	alphabetical						
Swiss Bank Corporation, Basle			True	Swiss Bank	1935	7	alphabetical					True	Swiss Bank Corporation
Swiss Bank Corporation, Lausanne			True	Swiss Bank	1935	7	alphabetical					True	Swiss Bank Corporation
Swiss Hotel Proprietors Association.			True	Swiss Hotel	1935	7	alphabetical						
Swiss Jewel Company, Ltd.	True	Swiss Jewel Company, Ltd.	True	Swiss Jewel	1935	7	alphabetical						
Swiss Silk Bolting Cloth Manufacturing Co., Ltd., Zurich. 9. 3	True	Swiss Silk Bolting Cloth Manufacturing Co.	True	Swiss Silk	1935	7	alphabetical	True	3				
Swiss Silk Bolting Cloth Manufacturing Co., Ltd., Thal, 9, 31	True	Swiss Silk Bolting Cloth Manufacturing Co.	True	Swiss Silk	1935	7	alphabetical	True	9, 31				
Schafer (C.) 32	True	Schafer (C.)	True	Schafer	1935	7	alphabetical	True	32	True	Schafer (C.)		
15, 17 Schetty (Färbereien) A.-G.			True	Schetty	1935	7	alphabetical	True	15, 17	True	Schetty (Färbereien)		
Schwarzenbach (R.) & Co.	True	Schwarzenbach (R.) & Co.	True	Schwarzenba	1935	7	alphabetical			True	Schwarzenbach (R.) & Co.		
Schweizerische Rückversicherungsgesellschaft			True	Schweizeris	1935	7	alphabetical					True	Schweizerische Rückversicherungsgesellschaft
Taylor (Stephen)			True	Taylor	1935	7	alphabetical			True	Taylor (Stephen)		
Thompson (J. M.) & Co. Ltd.	True	Thompson (J. M.) &	True	Thompson	1935	7	alphabetical			True	Thompson (J. M.) & Co. Ltd.		
Thornton (W.)			True	Thornton	1935	7	alphabetical			True	Thornton (W.)		
Tschanz, Jean (Tojan S.A.)			True	Tschanz, Jean	1935	7	alphabetical			True	Tschanz, Jean (Tojan S.A.)		
Total Broadhurst Lee Co., Ltd.	True	Total Broadhurst Lee Co., Ltd.	True	Total Broadhurst	1935	7	alphabetical						
