transcription	title_pattern_match	title_pattern_item	title_pattern_result	year	page	range_definition	location_list_match	location_list_item	location_list_result	company_pattern_match	company_pattern_item	company_pattern_result	address_list_match	address_list_item	address_list_result	phone_number_pattern_match	phone_number_pattern_item	phone_number_pattern_result	telegraph_pattern_match	telegraph_pattern_item	telegraph_pattern_result	address_pattern_match	address_pattern_item	address_pattern_result	company_list_match	company_list_item	company_list_result	title_list_match	title_list_item	title_list_result	company_best_match	company_best_match_type	company_best_match_strategy	goods_pattern_match	goods_pattern_item	goods_pattern_result
Cartage Contractors	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Cartage Contractors	1935	14	index																														
Lavanchy & Co., Successeurs de Perrin & Co., Gare Centrale, Lausanne; Phone 27.211, Telegrams « Lavan¬ chygare » Lausanne.				1935	14	index	True	Lausanne.	Lausanne.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Lavanchy & Co.	True	Gare Centrale	Gare Centrale	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 27.211	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Lavan¬ chygare »															
Casein (Merchants)	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Casein (Merchants)	1935	14	index																														
John Layton & Co., Ltd., 10, Seidengasse, Zuerich 1 ; Phone 35.166, Telegrams « Laytonco » Zurich.				1935	14	index	True	Zurich.	Zurich.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	John Layton & Co., Ltd.				True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 35.166	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Laytonco »	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	10, Seidengasse												
Castings	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Castings	1935	14	index																														
Société Anonyme des Aciéries ci-devant Georges Fischer, Schaffhouse; Phone 25, Telegrams « Ferrostalo ».				1935	14	index										True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 25	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Ferrostalo »				True	Société Anonyme des Aciéries ci-devant Georges Fischer	Société Anonyme des Aciéries ci-devant Georges Fischer									
Chambers of Commerce				1935	14	index																						True	Chambers of Commerce	Chambers of Commerce						
London Chamber of Commerce, 1, 2 and 3 Oxford Court, Cannon St., London, E. C. 4 Phone : Mansion House 5427, Telegrams « Convention, Cannon » London.				1935	14	index	True	London.	London.										True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Convention, Cannon »				True	London Chamber of Commerce	London Chamber of Commerce									
Champagne (Dealers)	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Champagne (Dealers)	1935	14	index																														
La Maison Darphin, Zoug; Phone 4.90, Telegrams « Dar¬ Those interested are heartily invited phin » Zoug. to visit the cellars and depots in Zoug.				1935	14	index	True	Zoug.	Zoug.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	La Maison				True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 4.90	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Dar¬ Those interested are				True	La Maison Darphin	La Maison Darphin				La Maison Darphin	list	longest_match			
